country,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI
subject,BCBUTE,BCCI,BCEMFT,BRBUFT,BRCI,BREMFT,BSCI,BSEMFT,BSPRFT,BVBUTE,BVCI,BVEMFT,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,
2017-Q1,38.1,12.7381,19.0,49.3,16.6,10.4,10.8,10.5,36.8,40.3,14.20455,17.0,-21.8,-41.8,-35.0
2017-Q2,25.0,12.2,22.0,38.0,13.2,12.3,8.2,9.0,35.0,24.0,5.4,2.7,-15.2,-32.6,-28.2
2017-Q3,49.0,17.6,39.0,39.8,18.4,20.4,11.4,9.1,36.0,26.0,17.6,-2.5,-19.6,-37.4,-25.4
2017-Q4,34.0,7.0,0.0,37.0,13.0,24.0,11.4,2.0,41.0,46.0,15.6,15.0,-20.65714,-44.14286,-31.51863
2018-Q1,-2.0,2.2,32.0,44.0,14.34,9.0,8.46,15.0,35.0,41.0,9.72,4.0,-18.2,-30.09986,-22.53923
2018-Q2,13.0,-8.0,-6.7,30.0,11.8,15.8,9.2,5.7,40.0,15.0,-3.4,-0.6,-10.0,-18.0,-23.0
2018-Q3,20.0,4.4,-4.4,40.3,10.0,6.5,3.2,-3.1,26.0,27.0,3.4,0.5,-30.2,-38.4,-36.0
2018-Q4,0.0,-18.22222,-20.0,35.0,12.88461,9.0,3.848921,4.0,33.0,25.0,2.790055,5.0,-43.6,-48.8,-35.2
2019-Q1,-4.3,-5.8,-2.2,13.2,-4.0,-16.2,-7.4,-0.7,0.0,23.6,-1.2,-2.3,-30.4,-38.2,-25.0
2019-Q2,30.0,-1.0,7.0,39.0,7.0,-8.1,9.4,2.2,37.0,26.0,2.6,-4.8,-34.29008,-41.12486,-27.09927
2019-Q3,9.5,-16.2,-4.8,4.1,-12.8,-20.0,-12.0,-5.0,-6.0,-17.8,-22.0,-20.6,-42.97914,-50.42172,-27.797
2019-Q4,4.0,4.765625,-22.0,27.0,0.5882353,-12.0,-15.85106,1.0,40.0,15.0,-3.345324,-3.0,-35.4926,-44.5966,-21.21582
2020-Q1,-5.0,-15.0,-5.0,24.0,-0.9848485,-3.0,2.416667,2.0,28.0,28.0,0.3521127,-5.0,-26.6225,-38.13977,-12.34306
2020-Q2,2.12766,-15.74468,-8.510638,19.71831,1.056338,0.0,3.430657,6.569343,30.65693,-1.290323,-8.686518,-9.032258,-26.8,2.2,-20.4
2020-Q3,7.894737,-22.76316,-13.2,10.9375,-10.78125,-12.5,-9.086957,-3.0,9.565217,-10.15625,-24.25781,-11.0,-43.4,-25.4,-34.8
2020-Q4,-31.03448,-2.931035,-3.448276,34.48276,-16.5625,-12.06897,-30.86207,-7.339449,17.43119,10.71429,-12.74159,-11.60714,-30.4,-20.8,-23.0
2021-Q1,42.42424,0.1515152,15.15152,38.88889,9.444445,0.0,0.1388889,3.703704,27.77778,41.37931,7.758621,14.65517,-26.6,-32.0,-20.4
2021-Q2,34.21053,1.315789,11.29032,58.06452,11.6129,11.29032,6.930693,11.88119,42.57426,26.31579,1.666667,3.508772,-33.0,-24.0,-24.4
2021-Q3,-5.882353,-16.85714,0.0,9.523809,-11.5625,-1.587302,-1.367925,3.809524,14.15094,6.451613,-10.94488,-0.8130081,-22.8,-24.4,-15.2
2021-Q4,26.82927,4.512195,17.07317,65.67164,20.07463,17.91045,7.212389,11.50443,41.59292,30.0,3.642857,9.285714,-22.2,-19.8,-25.0
2022-Q1,13.1579,-4.078948,-2.631579,51.85185,15.74074,14.81481,14.64646,28.28283,48.48485,47.74775,16.3964,27.92793,-15.8,-4.4,-18.4
2022-Q2,10.0,-4.333333,13.33333,53.7037,17.03704,11.11111,13.95604,21.97802,40.65934,32.69231,8.125,15.38461,-19.4,-5.8,-21.0
2022-Q3,41.30435,18.36957,13.04348,55.07246,20.36232,20.28986,13.96947,10.68702,36.64122,29.03226,6.419355,12.25806,-20.82138,-15.9601,-22.5445
2022-Q4,31.57895,11.1038,15.78947,48.57143,13.95756,14.28571,13.8,19.64286,37.5,35.66434,12.06294,23.77622,-12.0998,-11.8876,-14.386
2023-Q1,30.0,13.02256,27.5,53.33333,24.35694,28.33333,14.22376,14.40678,40.67797,48.0315,13.24698,26.77165,,,
