country,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11,-3.5,-24.1,7.4,-55.6,1.2,13.8,0.0,6.4,8.4,5.1,-5.5,-0.9,1.8,1.1,-26.3,24.8,7.6,4.0,-29.1,,,,,,,2.5,10.1,24.1
2001-12,-6.7,-19.2,18.8,-57.2,1.5,15.2,1.3,7.4,9.7,9.1,-5.5,-5.2,2.6,4.1,-24.3,12.7,3.5,-5.7,-26.1,,,,,,,2.7,9.9,20.5
2002-01,1.6,-17.6,15.1,-50.3,1.8,32.6,-2.2,9.0,5.3,31.9,3.5,5.3,5.0,0.1,-19.3,35.2,7.8,-6.1,-23.2,,,,,,,1.2,8.3,24.1
2002-02,-2.0,-17.8,11.9,-47.5,1.9,27.9,2.7,9.1,4.7,24.4,3.5,2.6,3.4,4.1,-22.3,34.2,4.6,-5.8,-26.2,12.0,13.3,30.7,-2.8,7.5,5.1,-1.4,5.0,27.1
2002-03,9.9,-20.7,7.7,-49.0,2.5,23.7,5.1,8.4,4.0,20.7,3.5,3.9,2.3,4.1,-22.3,38.2,8.0,-4.2,-26.3,11.2,8.3,14.9,-1.1,4.8,3.3,-2.0,3.8,21.7
2002-04,24.3,-22.6,-4.7,-40.5,3.0,19.2,9.4,8.4,6.0,12.8,3.5,-2.5,-0.4,8.1,-20.3,20.9,9.5,0.8,-27.1,11.8,11.2,16.0,5.9,3.0,4.9,0.8,3.2,20.5
2002-05,20.9,-17.7,1.4,-36.8,0.6,21.0,11.6,10.7,-1.1,8.9,0.4,-1.8,-4.0,5.1,-18.3,18.1,18.2,0.8,-27.0,13.3,10.9,11.2,8.2,0.9,1.7,-0.6,4.1,23.4
2002-06,27.3,-12.0,2.7,-26.8,1.9,17.1,8.2,7.6,-0.3,7.1,2.4,0.1,-0.6,3.1,-19.3,22.6,19.8,5.5,-25.0,11.9,10.1,14.7,3.7,1.5,3.2,0.3,6.6,24.5
2002-07,-12.9,-16.5,-3.3,-29.7,5.9,23.8,10.0,10.5,0.1,6.6,2.4,0.7,-1.8,2.1,-15.3,19.4,11.7,-1.5,-24.2,12.0,9.7,9.8,7.1,1.2,1.0,-1.0,6.5,23.9
2002-08,-10.2,-15.8,0.2,-31.8,5.4,19.9,12.1,8.3,3.6,5.4,7.3,0.2,0.8,-0.9,-18.3,18.0,13.0,4.2,-23.8,11.8,9.1,11.6,4.0,3.7,1.1,3.5,9.7,21.9
2002-09,-5.9,-9.9,1.3,-21.2,5.3,27.0,17.8,14.8,11.8,13.8,0.4,0.7,-0.2,1.1,-16.3,19.4,15.7,2.5,-19.5,17.1,10.4,8.9,5.1,4.9,-1.1,-1.3,6.6,27.4
2002-10,0.3,-7.5,6.0,-21.1,7.0,20.4,13.8,9.9,9.6,13.9,4.3,3.2,2.0,-2.9,-14.3,20.9,12.6,1.6,-19.6,16.4,10.8,10.4,5.4,5.6,0.0,1.8,10.6,25.6
2002-11,-8.5,-14.2,3.9,-32.4,7.6,23.3,17.5,11.3,5.1,13.2,6.9,3.3,-1.4,-2.9,-13.3,20.2,14.6,3.1,-16.1,18.0,9.0,7.0,2.1,7.6,2.4,3.8,15.9,27.4
2002-12,-10.2,-16.0,1.3,-33.3,6.8,29.2,17.2,13.0,1.0,11.4,7.4,3.4,1.6,0.1,-11.3,21.6,-0.4,1.8,-20.1,18.5,10.0,8.0,3.6,7.2,5.1,2.7,16.1,26.8
2003-01,25.4,-18.5,-5.0,-32.1,7.5,23.4,15.9,11.6,5.4,8.5,4.5,3.1,-1.3,-6.9,-16.3,18.6,18.0,2.0,-21.2,14.4,10.4,9.7,7.2,12.9,6.7,1.4,10.1,32.0
