country,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR
1989-06,39.8,35.6,35.2,36.0,65.4,21.7,23.1,8.4,32.4,13.2,19.6,-1.806363,-2.4,9.0,-7.965063,11.54597,14.2,29.0,-14.5,,,,,,,-16.6,-23.0,55.8
1989-07,29.5,25.9,32.7,19.1,51.4,21.1,8.5,2.6,32.3,0.1,21.8,1.124548,-0.4,9.0,-2.881477,15.25512,10.1,33.3,-10.6,,,,,,,-15.4,-20.5,50.6
1989-08,29.3,26.2,32.9,19.6,51.5,8.6,4.8,-3.3,33.0,7.8,23.4,-1.290493,-0.2,11.0,-5.154264,12.28278,9.7,32.5,-2.5,,,,,,,-14.8,-15.8,48.9
1989-09,29.1,26.7,33.1,20.2,51.8,7.7,5.5,-3.7,32.9,2.8,24.2,-5.660363,-0.1,9.0,-7.567064,-0.4140249,9.5,28.6,-7.2,,,,,,,-12.3,-15.2,48.7
1989-10,14.2,14.1,14.7,13.4,31.8,6.6,10.4,-1.7,32.8,3.3,22.0,-4.507764,-7.6,13.0,-6.838138,6.314845,3.2,31.0,-8.4,,,,,,,-20.1,-26.9,52.8
1989-11,13.6,14.2,14.4,14.0,31.3,1.5,1.6,-9.4,19.7,-3.8,31.3,-8.187933,-7.7,14.0,-16.43514,5.871346,2.6,23.7,-14.5,,,,,,,-18.7,-24.0,47.4
1989-12,13.2,14.4,14.3,14.6,31.0,0.1,4.0,-7.1,19.3,3.4,25.2,-6.686089,-7.6,15.0,-12.62827,7.570001,2.0,24.8,-6.4,,,,,,,-17.4,-20.0,45.7
1990-01,0.6,-3.9,-5.4,-2.5,-2.8,-2.9,16.4,-3.3,3.0,12.0,23.4,-8.50119,-16.9,14.0,-14.01319,2.509618,-2.9,28.2,1.7,,,,,,,-14.9,-17.7,50.2
1990-02,-0.1,-4.4,-6.2,-2.7,-4.9,6.5,5.4,-1.2,22.6,12.8,15.5,-10.48336,-17.4,10.0,-19.18271,-2.267372,-3.2,22.5,-1.8,,,,,,,-17.6,-21.9,47.8
1990-03,-0.4,-4.8,-6.8,-2.7,-6.8,5.8,13.0,0.0,22.3,16.2,18.7,-14.42292,-17.8,16.0,-24.13496,-3.133801,-3.3,24.9,0.0,,,,,,,-25.3,-33.0,51.0
1990-04,-8.3,-9.9,-6.1,-13.7,-16.5,5.2,15.0,2.0,22.0,10.8,14.3,-9.823798,-22.2,14.0,-17.76644,2.295039,-6.7,29.4,-4.2,,,,,,,-23.1,-30.7,50.3
1990-05,-9.1,-10.4,-6.7,-14.1,-18.3,3.6,4.1,-5.8,11.3,-3.1,25.0,-11.70885,-22.9,12.0,-23.3753,0.248757,-7.1,27.2,-0.7,,,,,,,-23.4,-26.4,50.4
1990-06,-9.8,-10.8,-7.1,-14.4,-19.7,3.1,5.0,-5.7,10.5,10.3,25.0,-11.15659,-23.6,8.0,-23.99716,-1.472617,-7.5,25.5,-1.1,,,,,,,-21.9,-26.1,52.3
1990-07,-22.1,-39.2,-35.9,-42.6,-44.7,2.6,4.8,-5.0,9.8,-3.2,22.4,-15.23003,-26.7,14.0,-27.90013,-3.789954,-9.3,26.3,-7.8,,,,,,,-20.0,-19.2,46.9
1990-08,-23.3,-41.0,-37.7,-44.3,-47.2,-6.2,-8.6,-11.3,10.0,-7.1,19.2,-16.98393,-27.1,13.0,-34.18937,-3.76243,-9.9,24.6,-11.4,,,,,,,-20.5,-28.4,53.8
1990-09,-24.2,-42.4,-39.2,-45.7,-49.4,-7.2,-1.7,-12.5,9.7,-10.0,28.6,-20.35631,-27.4,13.0,-38.57564,-9.493301,-10.6,23.0,-16.3,,,,,,,-22.5,-30.3,57.1
1990-10,-33.5,-53.5,-47.2,-59.9,-52.3,-8.1,-4.3,-12.0,9.4,-4.6,23.5,-23.16957,-33.7,18.0,-37.82858,-13.68012,-15.2,24.8,-15.8,,,,,,,-17.4,-15.1,44.8
1990-11,-35.0,-55.4,-49.0,-61.7,-54.3,-1.4,-18.3,-15.3,-4.7,-7.5,26.2,-26.17178,-34.3,17.0,-43.4319,-18.08344,-15.7,21.5,-27.0,,,,,,,-19.7,-21.4,42.7
1990-12,-36.2,-57.0,-50.7,-63.3,-56.0,-2.2,-16.8,-16.0,-5.8,-16.8,29.0,-29.99963,-34.8,21.0,-43.62343,-25.37546,-15.5,17.1,-25.7,,,,,,,-11.0,-2.5,33.3
1991-01,-47.5,-67.3,-56.3,-78.3,-49.4,-4.6,-24.9,-19.6,-2.5,-24.2,29.1,-30.51544,-44.9,21.0,-42.03052,-28.51579,-22.3,16.7,-28.5,,,,,,,-18.8,-21.3,43.6
1991-02,-49.1,-69.2,-58.0,-80.4,-50.8,0.5,-29.5,-20.5,-8.8,-23.7,32.5,-40.46684,-46.2,26.0,-56.16612,-39.2344,-23.1,6.2,-33.4,,,,,,,-17.7,-22.6,41.7
1991-03,-50.6,-70.8,-59.5,-82.1,-51.9,0.1,-22.3,-16.7,-9.7,-30.0,28.1,-36.39157,-47.4,26.0,-55.08456,-28.09014,-23.7,6.6,-37.1,,,,,,,-11.3,-3.8,32.4
1991-04,-64.0,-76.5,-68.6,-84.5,-44.6,-0.2,-26.3,-18.4,-10.4,-22.6,28.6,-30.14424,-39.2,26.0,-53.76058,-10.67215,-42.7,8.5,-36.2,,,,,,,-10.7,-1.3,41.5
1991-05,-66.2,-78.1,-70.3,-85.9,-45.3,7.3,-40.6,-21.0,-14.9,-19.7,29.9,-36.70423,-39.8,25.0,-63.35431,-21.75837,-44.5,4.8,-40.0,,,,,,,-10.9,-7.5,36.7
1991-06,-68.2,-79.3,-72.0,-86.6,-46.0,7.2,-23.4,-15.2,-16.1,-26.2,29.5,-32.83499,-40.3,26.0,-60.02545,-12.47952,-46.1,7.0,-34.7,,,,,,,-11.4,-7.0,36.8
1991-07,-44.1,-63.9,-50.7,-77.2,-34.9,6.8,-30.7,-16.9,-17.2,-23.2,26.7,-30.91047,-41.2,26.0,-58.91214,-7.819289,-36.9,6.9,-41.0,,,,,,,-13.5,-10.9,34.4
1991-08,-35.9,-62.1,-46.2,-78.1,-29.5,7.5,-28.3,-16.6,-20.4,-28.6,28.9,-29.00519,-41.7,22.0,-58.22424,-6.791333,-37.8,4.5,-36.7,,,,,,,-11.4,-3.5,27.8
1991-09,-31.8,-62.2,-45.5,-78.9,-25.4,6.9,-24.6,-15.8,-21.4,-25.3,29.8,-22.71723,-42.1,19.0,-50.58558,1.433882,-38.8,4.5,-31.5,,,,,,,-7.6,5.7,24.0
1991-10,-23.6,-51.7,-28.6,-74.9,-10.6,6.3,-20.9,-12.9,-22.3,-9.1,24.2,-23.16062,-35.1,20.0,-54.81371,5.331849,-26.5,2.5,-33.2,,,,,,,-5.1,7.4,24.9
1991-11,-30.0,-55.6,-29.9,-81.4,-15.3,25.0,-18.4,-4.4,-22.4,-8.4,19.7,-20.48937,-35.3,17.0,-50.42982,5.961702,-26.8,2.8,-22.9,,,,,,,-7.1,7.8,25.9
1991-12,-42.6,-58.7,-33.9,-83.6,-13.8,25.2,-30.4,-6.5,-23.7,-14.2,14.2,-23.64979,-35.5,18.0,-52.61495,-0.3344362,-27.1,3.3,-32.7,,,,,,,-9.7,-4.1,30.7
1992-01,-26.4,-56.6,-33.6,-79.6,-10.3,24.4,-25.2,-4.9,-20.8,-9.5,14.0,-27.20091,-35.6,21.0,-58.03856,-2.564154,-32.6,1.2,-38.6,,,,,,,-11.1,-3.7,25.0
1992-02,-13.6,-49.7,-26.7,-72.6,1.1,24.7,-14.3,-1.9,-18.2,-13.9,16.2,-26.8018,-36.1,20.0,-54.16191,-6.243479,-33.4,0.9,-36.7,,,,,,,-8.0,-0.4,24.4
1992-03,-7.7,-48.1,-22.2,-74.0,0.3,24.7,-31.1,-8.3,-19.0,-7.4,18.6,-24.03784,-36.7,16.0,-50.04168,-6.071831,-34.2,3.9,-36.7,,,,,,,-5.2,6.5,25.4
1992-04,2.1,-43.5,-20.6,-66.4,1.2,24.6,-17.4,-5.4,-19.5,-0.3,23.4,-21.46218,-29.7,17.0,-49.75504,2.368508,-11.3,0.2,-31.9,,,,,,,-4.1,9.0,21.6
1992-05,-6.0,-43.9,-15.9,-72.0,-4.2,34.3,-13.5,0.8,-14.5,3.8,18.4,-13.37149,-29.9,13.0,-39.3464,12.23193,-11.3,4.8,-25.6,,,,,,,-3.7,10.8,24.7
1992-06,-3.8,-48.1,-22.6,-73.7,-9.9,34.6,-23.6,-2.0,-15.2,-4.4,17.2,-17.17956,-30.1,14.0,-44.05799,6.519328,-11.4,2.8,-28.1,,,,,,,-6.8,2.9,28.1
1992-07,-12.7,-48.5,-25.7,-71.3,-11.3,34.8,-40.0,-8.4,-15.9,-14.1,19.9,-22.25649,-27.3,19.0,-45.9287,-1.840782,-12.3,0.7,-37.1,,,,,,,-11.5,-5.8,29.9
1992-08,-21.7,-53.2,-32.2,-74.2,-16.9,5.0,-23.1,-13.5,-20.0,-19.7,22.5,-29.36079,-27.6,22.0,-53.26691,-12.81545,-12.5,-0.2,-32.6,,,,,,,-14.9,-13.1,19.1
1992-09,-26.5,-58.6,-42.2,-74.9,-24.1,3.3,-49.6,-21.8,-20.9,-17.7,19.2,-29.07097,-28.0,21.0,-52.58725,-13.62568,-12.7,-4.0,-31.4,,,,,,,-18.4,-20.3,20.5
1992-10,-19.2,-56.5,-38.8,-74.1,-11.2,1.6,-27.8,-16.2,-21.9,-24.4,22.3,-23.14309,-36.1,19.0,-46.79577,-3.633504,-18.2,-4.4,-32.8,,,,,,,-21.2,-27.2,28.8
1992-11,-21.9,-54.7,-38.4,-71.0,-5.0,12.0,-34.0,-12.8,-18.3,-11.6,16.5,-28.13387,-37.0,22.0,-49.42137,-12.98024,-18.8,-1.2,-35.4,,,,,,,-21.3,-24.2,27.3
1992-12,-28.5,-50.0,-28.3,-71.6,0.2,11.4,-13.2,-4.3,-19.8,3.5,11.1,-23.96471,-38.0,21.0,-48.60385,-2.290285,-19.4,2.6,-30.7,,,,,,,-19.2,-21.0,27.7
1993-01,-11.9,-40.5,-16.7,-64.3,8.2,10.5,-12.6,-5.2,-17.2,-1.3,13.5,-21.2226,-28.7,23.0,-44.05294,3.385154,-13.1,1.7,-31.5,,,,,,,-12.7,-6.9,24.0
1993-02,2.0,-41.0,-13.5,-68.5,6.3,23.4,-4.0,3.8,-11.0,6.8,8.2,-17.14336,-29.4,19.0,-38.16139,5.731315,-13.7,12.2,-26.2,,,,,,,-15.5,-14.5,28.0
1993-03,-3.0,-39.8,-10.5,-69.2,9.3,23.5,-5.6,4.1,-11.6,13.5,5.7,-14.01969,-30.2,18.0,-29.99402,5.93495,-14.4,11.7,-18.9,,,,,,,-15.1,-16.4,34.9
1993-04,0.3,-39.6,-14.6,-64.5,5.8,23.6,-10.6,3.3,-12.2,13.1,3.3,-9.439816,-23.3,13.0,-26.74189,11.42244,-1.3,7.9,-20.7,,,,,,,-16.2,-14.5,33.6
1993-05,-1.5,-38.7,-11.0,-66.3,6.1,31.2,-15.8,3.0,-4.5,14.0,6.3,-7.690463,-23.5,18.0,-24.31742,19.24603,-1.5,10.3,-9.9,,,,,,,-12.1,-3.4,36.8
1993-06,1.9,-41.8,-16.0,-67.6,1.8,32.0,-11.5,2.1,-4.7,15.6,14.3,-9.516801,-23.7,14.0,-25.08242,10.53202,-1.7,11.1,-13.5,,,,,,,-16.1,-12.3,36.2
1993-07,-1.2,-34.1,-11.0,-57.2,7.9,32.4,6.1,8.8,-5.1,28.5,12.1,-13.93623,-25.4,20.0,-25.94161,4.132934,2.5,5.4,-13.6,,,,,,,-14.1,-10.8,35.2
1993-08,-0.1,-32.7,-8.6,-56.8,6.5,39.3,2.3,10.5,-4.1,25.4,10.1,-6.725458,-25.9,16.0,-19.31791,15.14154,2.4,4.9,-13.5,,,,,,,-10.8,-0.9,34.5
1993-09,-4.6,-34.0,-8.2,-59.8,5.9,40.1,7.9,11.8,-4.7,28.6,12.5,-4.100995,-26.4,9.0,-20.59993,17.29694,2.3,7.7,-17.3,,,,,,,-10.4,-1.6,34.7
1993-10,-5.3,-30.6,-5.2,-56.1,9.1,40.6,2.0,10.6,-5.5,20.8,10.7,-10.13089,-19.3,17.0,-24.78584,11.39317,5.2,1.6,-15.1,,,,,,,-13.8,-10.6,44.3
1993-11,-1.0,-30.0,-7.0,-53.0,13.9,37.2,2.0,9.3,10.3,22.9,11.4,-5.788466,-19.4,12.0,-22.42612,17.06073,5.1,7.1,-18.7,,,,,,,-14.5,-10.0,40.2
1993-12,-9.7,-30.4,-6.0,-54.9,14.7,37.8,8.4,11.4,10.5,29.8,12.0,-6.954088,-19.7,14.0,-20.6078,13.74553,4.8,-1.6,-9.7,,,,,,,-17.3,-12.3,41.8
1994-01,-1.3,-20.8,2.1,-43.8,25.9,38.2,0.5,7.5,12.7,23.6,16.2,-4.247859,-10.8,11.0,-19.07945,17.33587,9.1,3.8,-6.6,,,,,,,-13.0,-4.8,36.1
1994-02,1.4,-20.3,3.7,-44.3,25.1,31.1,-1.2,4.9,13.4,24.4,15.2,-1.484379,-10.3,12.0,-13.16317,20.71003,8.9,2.9,-12.9,,,,,,,-15.0,-4.9,37.7
1994-03,8.2,-21.0,7.1,-49.1,28.1,31.2,-6.2,4.0,13.5,16.4,12.9,-3.664691,-10.0,13.0,-15.93696,17.94288,8.7,4.9,-6.3,,,,,,,-18.2,-14.9,40.1
1994-04,9.5,-22.8,0.1,-45.8,22.9,31.1,-20.4,-0.3,13.6,13.2,11.8,-5.744576,-21.2,15.0,-15.71905,13.48532,9.0,-2.2,-6.1,,,,,,,-21.4,-22.0,39.2
1994-05,12.5,-19.4,2.9,-41.7,24.2,20.7,-1.9,2.6,8.7,25.0,10.9,0.005393598,-21.4,14.0,-5.270053,19.28623,9.5,6.2,-7.9,,,,,,,-21.2,-20.9,36.1
1994-06,14.5,-16.2,7.2,-39.6,31.6,20.6,-3.0,2.4,8.6,29.5,10.4,2.152547,-21.7,9.0,-5.094721,20.55236,10.3,15.2,-5.7,,,,,,,-17.1,-14.5,36.2
1994-07,9.7,-12.4,9.1,-33.8,35.6,20.7,5.4,4.8,8.4,34.0,11.8,-1.619437,-12.3,12.0,-6.952239,14.09393,15.7,14.0,0.2,,,,,,,-14.9,-9.2,36.0
1994-08,2.0,-18.0,0.1,-36.1,33.2,31.0,-3.5,5.4,4.1,22.1,11.3,7.914212,-12.0,8.0,2.63993,29.10271,16.3,20.0,4.5,,,,,,,-13.0,-3.8,37.0
1994-09,6.0,-19.7,0.2,-39.5,30.0,31.2,5.7,8.0,3.5,25.4,13.0,4.870631,-11.8,11.0,2.391143,23.22075,16.7,21.4,5.1,,,,,,,-13.4,-5.5,36.3
1994-10,-2.9,-19.8,1.2,-40.9,31.0,31.5,-12.4,1.9,2.9,13.7,13.4,5.544851,-13.6,10.0,4.218407,22.41615,20.4,21.7,4.3,,,,,,,-12.8,-5.3,33.1
1994-11,-3.5,-17.5,2.0,-37.0,29.0,23.9,-6.1,-0.3,0.6,21.5,18.8,7.553273,-13.6,9.0,5.561587,26.09823,20.9,22.9,16.2,,,,,,,-10.5,-2.5,35.4
1994-12,-5.9,-20.5,1.4,-42.4,28.0,24.0,-4.0,0.8,0.1,10.8,17.5,9.720145,-13.7,9.0,6.379707,31.78073,21.3,21.7,11.0,,,,,,,-17.7,-14.8,44.5
1995-01,-10.7,-20.5,2.9,-43.8,24.5,24.0,-15.7,-4.1,0.1,18.2,20.7,7.390168,-0.4,9.0,9.886058,21.28444,31.3,25.7,16.6,,,,,,,-12.8,-6.7,38.1
1995-02,-8.1,-25.5,-3.1,-47.8,19.3,11.5,-18.4,-8.2,-7.2,5.9,17.8,11.51088,0.6,9.0,10.83539,32.69724,32.5,30.0,16.1,,,,,,,-12.7,-8.1,41.8
1995-03,0.3,-23.1,-6.0,-40.1,18.0,11.1,-20.9,-8.9,-7.7,7.8,17.0,9.02151,1.5,11.0,8.113588,29.95094,32.7,29.7,14.6,,,,,,,-13.6,-11.3,39.0
1995-04,-9.3,-28.9,-10.7,-47.1,9.1,10.8,-2.5,-3.1,-8.3,6.1,17.7,5.276611,-11.3,10.0,9.295265,16.53457,26.8,21.6,20.9,,,,,,,-13.8,-14.1,39.1
1995-05,-8.3,-36.2,-21.4,-51.1,8.3,7.3,-7.9,-6.2,2.8,-0.3,18.0,9.70465,-11.2,6.0,7.782679,27.33127,24.0,23.4,14.2,,,,,,,-17.8,-21.2,37.5
1995-06,-8.4,-33.1,-19.7,-46.4,6.0,6.8,-15.0,-9.0,3.2,6.0,19.0,3.82005,-11.2,11.0,2.891709,19.56844,21.1,23.6,17.3,,,,,,,-10.7,-12.0,27.8
1995-07,-12.9,-34.5,-20.1,-49.0,8.4,6.0,-8.0,-6.3,3.5,-0.1,16.8,0.02159771,-5.2,16.0,0.02874862,16.03605,17.0,22.6,15.5,,,,,,,-8.2,-9.2,27.4
1995-08,-13.3,-37.2,-21.7,-52.6,8.6,18.6,-12.3,-4.8,0.9,4.2,20.6,2.560167,-4.7,13.0,0.6061493,20.07435,15.2,20.4,9.4,,,,,,,-8.8,-7.2,32.1
1995-09,-16.3,-36.9,-23.7,-50.1,2.5,19.5,-4.9,-1.9,0.9,7.5,20.3,0.1777081,-4.3,19.0,-0.6149183,20.14804,13.3,16.3,8.1,,,,,,,-8.7,-5.3,32.2
1995-10,-12.5,-31.2,-17.2,-45.1,5.8,20.3,2.7,0.7,1.0,6.2,20.8,-1.780691,-5.2,17.0,-1.775398,13.43332,13.4,15.1,5.6,,,,,,,-5.9,-4.2,30.0
1995-11,-15.3,-34.9,-19.5,-50.3,8.0,25.1,0.6,3.9,5.4,10.1,14.0,-4.103193,-4.7,18.0,-8.449918,14.14034,15.2,17.8,4.8,,,,,,,-6.6,-4.2,29.8
1995-12,-20.9,-33.8,-15.6,-52.1,3.9,25.8,3.2,3.4,6.1,12.6,18.8,-8.937372,-4.1,22.0,-11.63345,6.821336,11.4,14.7,2.1,,,,,,,-5.6,-4.5,31.5
1996-01,-14.2,-34.0,-17.1,-50.8,2.0,26.5,7.0,5.7,6.9,15.5,16.4,-4.303157,-15.5,19.0,-11.14225,17.23277,9.1,10.9,0.2,,,,,,,-5.1,-5.4,30.5
1996-02,-13.3,-33.6,-17.6,-49.6,4.9,28.5,28.0,11.0,11.0,25.3,23.6,-5.152317,-15.1,16.0,-16.15789,16.70094,12.7,9.7,3.6,,,,,,,-5.4,-3.4,22.0
1996-03,-15.2,-36.5,-19.5,-53.5,3.0,29.4,13.2,10.0,11.9,25.8,12.7,-5.954349,-14.7,20.0,-17.83533,19.97228,7.8,12.7,-6.2,,,,,,,-5.0,-5.1,25.7
1996-04,-17.5,-35.1,-15.4,-54.7,-0.4,30.5,13.0,9.1,12.7,17.7,16.3,-8.038328,-8.8,20.0,-15.68587,11.57089,2.5,11.5,-11.2,,,,,,,-3.6,-2.8,25.3
1996-05,-1.3,-29.4,-15.4,-43.4,5.5,31.5,16.5,9.4,8.4,31.2,19.8,-10.5922,-8.5,25.0,-19.15897,12.38237,6.1,6.6,-12.8,,,,,,,-6.1,-10.4,26.4
1996-06,0.7,-26.2,-12.0,-40.4,6.1,31.4,29.7,16.8,9.0,28.7,10.7,-7.180882,-8.3,17.0,-15.12193,10.57928,6.3,6.4,-16.0,,,,,,,-7.3,-8.2,23.1
1996-07,-3.1,-26.2,-10.2,-42.1,9.1,30.3,21.4,12.5,9.6,38.6,14.3,-5.341959,-15.6,19.0,-19.99656,22.97069,9.1,1.8,-13.6,,,,,,,-5.7,-3.4,22.7
1996-08,-1.5,-27.5,-9.9,-45.1,8.2,42.1,23.7,17.9,29.7,41.7,12.1,-2.457247,-15.4,17.0,-11.42392,21.05218,10.3,4.3,-15.7,,,,,,,-4.7,-4.0,23.7
1996-09,-8.2,-26.7,-4.9,-48.4,17.4,42.9,29.3,20.2,31.3,23.8,11.6,-0.8463296,-15.2,14.0,-8.616231,20.07724,8.7,5.7,-10.9,,,,,,,-3.2,-1.3,22.7
1996-10,-2.7,-22.0,0.2,-44.2,18.8,43.1,30.6,18.9,32.8,41.0,17.0,0.894559,-9.9,18.0,-2.760724,23.4444,15.2,7.1,-4.4,,,,,,,-2.5,1.3,19.7
1996-11,-1.1,-19.7,-0.4,-39.0,18.5,45.7,33.9,22.2,26.9,36.4,13.1,3.906601,-9.4,15.0,0.5393368,26.18047,21.3,5.8,-5.2,,,,,,,-0.6,2.1,22.5
1996-12,0.3,-16.1,5.5,-37.7,21.9,46.2,22.9,16.3,27.8,31.7,20.1,-3.601521,-9.0,17.0,-11.65441,17.84985,21.3,9.8,-12.7,,,,,,,-1.9,0.5,26.9
1997-01,3.6,-14.8,7.9,-37.5,26.0,48.9,18.5,17.0,28.6,23.7,16.3,-2.998092,-10.5,20.0,-4.171379,15.1771,9.2,7.0,-7.1,1.5,31.1,50.8,40.9,25.7,10.2,-2.7,-0.6,28.4
1997-02,3.3,-13.5,6.8,-33.8,26.4,39.0,8.9,10.5,30.5,25.9,16.5,-3.150927,-10.0,14.0,-8.160277,12.7075,14.8,0.5,-12.8,1.5,28.6,45.9,38.4,25.7,10.6,1.5,3.9,27.3
1997-03,-0.4,-13.4,6.5,-33.3,32.9,34.5,19.3,12.0,31.2,27.5,17.8,0.7372638,-9.6,15.0,-3.792535,21.00433,15.5,5.4,-19.3,1.5,30.3,46.4,43.1,25.7,10.6,0.8,4.7,24.6
1997-04,4.5,-11.5,9.0,-32.0,31.0,34.0,21.6,11.3,31.9,32.5,21.7,-0.6917294,2.1,17.0,-5.672609,20.59742,5.1,1.9,-21.7,13.5,24.9,28.3,32.8,23.7,12.1,0.0,3.8,27.6
1997-05,-2.6,-15.0,4.5,-34.6,30.2,34.0,17.9,11.6,26.0,28.7,17.3,-3.562084,3.0,14.0,-10.11356,13.4273,8.1,7.0,-27.6,13.5,24.6,28.3,32.1,23.7,12.1,2.5,9.8,21.0
1997-06,0.3,-16.0,4.1,-36.0,32.5,31.0,19.6,10.0,26.3,27.0,20.6,-4.854274,3.8,21.0,-5.139789,11.57697,13.1,0.8,-23.0,13.5,25.6,28.6,34.7,23.7,12.7,2.1,13.5,25.8
1997-07,-2.4,-12.5,6.0,-31.0,35.8,29.2,15.4,9.1,22.5,26.3,17.3,0.2933379,-2.0,18.0,-3.035197,21.91521,6.1,2.4,-26.5,25.5,35.6,47.6,33.8,22.7,12.1,0.8,7.8,34.9
1997-08,-8.3,-10.9,10.8,-32.7,34.1,29.7,16.3,6.8,21.8,20.6,25.6,-1.80533,-1.4,14.0,-6.452472,15.03648,8.2,2.4,-34.4,25.5,33.9,46.8,29.5,22.7,13.7,0.7,6.2,35.3
1997-09,4.5,-4.8,13.0,-22.5,33.2,34.0,22.5,11.1,27.1,27.4,23.2,-0.5329731,-0.9,12.0,-6.612205,17.01328,13.8,3.8,-32.0,25.5,35.1,46.0,33.7,22.7,12.8,1.9,9.4,32.6
1997-10,5.4,-6.7,14.4,-27.7,34.2,32.9,19.8,10.6,33.4,30.1,21.0,4.247171,-6.1,15.0,4.273654,23.46786,11.0,4.8,-30.0,28.5,37.2,59.0,24.1,26.7,22.0,3.3,11.1,29.6
1997-11,7.0,-5.1,16.1,-26.2,38.1,28.5,17.5,8.5,26.5,27.4,20.5,0.5931218,-5.8,10.0,-2.452712,14.23208,9.7,-0.6,-33.9,28.5,36.6,60.1,21.0,26.7,20.5,0.5,7.3,28.6
1997-12,3.4,-2.0,15.6,-19.7,36.8,27.7,9.7,6.2,26.9,32.6,18.9,1.398093,-5.4,11.0,0.3206303,14.87365,21.3,0.9,-27.7,28.5,37.4,59.5,24.3,26.7,22.4,1.8,6.7,26.0
1998-01,5.2,-6.2,9.7,-22.2,33.3,30.4,21.1,12.4,26.5,24.2,14.2,-3.359263,2.3,17.0,-3.193212,10.11542,16.2,-6.7,-32.8,5.5,20.8,34.8,21.9,20.7,17.8,-0.9,0.3,31.3
1998-02,1.7,-4.7,11.0,-20.4,37.8,11.9,17.7,4.7,25.7,20.4,15.5,-1.82038,2.8,13.0,-0.1645151,7.703374,9.9,-7.1,-32.8,5.5,18.3,29.9,19.4,20.7,18.4,0.0,4.3,29.5
1998-03,-7.9,-8.8,4.4,-22.0,32.2,24.0,9.0,5.8,26.2,13.7,15.5,-4.569098,3.3,17.0,-4.749298,8.042004,7.1,-5.9,-32.3,5.5,20.0,30.4,24.1,20.7,18.0,0.3,2.5,29.5
1998-04,0.3,-7.7,5.8,-21.2,34.4,25.2,8.0,5.0,27.4,12.4,18.1,-7.346075,-12.0,15.0,-7.660063,0.6218383,9.6,-5.3,-41.9,20.5,32.2,46.3,29.8,30.7,17.1,1.1,4.9,30.0
1998-05,-2.8,-4.7,8.2,-17.6,33.9,22.7,13.1,6.1,27.8,0.5,17.5,-12.8748,-12.1,14.0,-19.08327,-5.541136,1.1,-10.8,-50.5,20.5,32.0,46.2,29.1,30.7,17.6,1.2,4.4,28.4
1998-06,-6.8,-11.8,0.4,-24.0,26.8,11.4,-7.4,-4.4,18.4,10.8,17.2,-16.20205,-12.2,18.0,-26.16636,-4.439772,0.3,-16.2,-51.8,20.5,32.9,46.6,31.7,30.7,17.1,-1.3,-0.8,35.6
1998-07,-5.1,-12.6,0.6,-25.7,24.9,3.8,-7.7,-8.9,17.9,-1.8,22.8,-16.07104,-15.6,12.0,-29.08147,-7.131653,-8.0,-9.0,-48.3,5.5,20.3,27.6,27.9,27.7,20.4,-4.3,-7.5,35.6
1998-08,-7.7,-12.8,0.0,-25.7,21.4,6.6,-17.3,-11.9,12.4,1.6,24.9,-23.15775,-16.1,21.0,-32.49005,-15.98322,-10.7,-13.5,-47.8,5.5,18.6,26.8,23.5,27.7,19.4,-6.5,-14.4,34.3
1998-09,-2.3,-14.6,-0.2,-29.0,15.0,1.1,-11.3,-11.6,17.1,-0.4,24.8,-23.22053,-16.5,21.0,-35.61531,-13.04628,-7.2,-10.5,-51.1,5.5,19.8,26.0,27.8,27.7,20.2,-4.9,-14.8,31.5
1998-10,-5.2,-16.7,-4.2,-29.3,17.4,-25.0,-14.6,-20.8,9.7,-10.0,22.9,-30.72557,-26.5,26.0,-40.6792,-25.49751,-25.6,-16.0,-53.1,-5.5,10.2,20.1,16.0,14.7,15.9,-6.7,-18.1,22.8
1998-11,-2.0,-15.3,-0.8,-29.7,17.3,17.9,-14.4,-6.2,21.9,18.4,21.9,-32.05078,-27.4,28.0,-46.44144,-21.7109,-19.3,-25.8,-52.4,-5.5,9.6,21.2,13.0,14.7,16.6,-3.5,-12.7,19.0
1998-12,-5.7,-15.9,-3.7,-28.1,17.4,-19.8,-17.9,-19.2,0.3,-11.4,19.7,-22.92839,-28.2,21.0,-39.69415,-8.091024,-24.0,-27.3,-48.5,-5.5,10.5,20.6,16.3,14.7,15.5,-4.3,-12.3,17.3
1999-01,-5.3,-16.6,-3.5,-29.6,20.5,-9.1,-19.2,-16.5,-2.2,-6.1,21.2,-25.38235,-32.1,23.0,-41.20474,-11.94232,-32.0,-28.2,-50.2,8.5,21.1,37.8,16.9,27.7,18.6,-3.6,-11.7,15.5
1999-02,-3.7,-17.7,-4.6,-30.9,15.1,2.4,-17.1,-11.5,7.6,10.3,19.6,-24.81665,-32.8,24.0,-37.15022,-13.29974,-33.9,-22.8,-46.2,8.5,18.6,32.9,14.4,27.7,16.5,-1.6,-7.9,15.2
1999-03,-6.1,-13.6,-1.2,-25.9,18.7,6.9,1.1,-3.3,10.8,-5.9,18.0,-22.86681,-33.5,20.0,-36.68884,-11.91159,-31.9,-25.4,-50.3,8.5,20.3,33.4,19.1,27.7,18.1,0.3,-5.4,14.0
