country,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN
2015-Q3,15.0,-31.0,3.0,1.0,1.0,-4.333333,-24.0,15.0,5.0,5.0,-3.0,-9.0,16.0,9.0,12.0,-34.0,-30.0
2015-Q4,17.0,-32.0,4.0,0.0,2.0,-4.666667,-27.0,16.0,4.0,4.0,-3.0,-10.0,15.0,11.0,16.0,-37.0,-33.0
2016-Q1,17.0,-29.0,5.0,0.0,1.0,-3.666667,-27.0,12.0,1.0,1.0,-4.0,-9.0,15.0,14.0,9.0,-36.0,-35.0
2016-Q2,13.0,-32.0,6.0,-5.0,-6.0,-7.666667,-26.0,12.0,0.0,0.0,-4.0,-9.0,15.0,11.0,8.0,-37.0,-34.0
2016-Q3,16.0,-35.0,5.0,0.0,-3.0,-4.333333,-30.0,10.0,1.0,1.0,-3.0,-12.0,14.0,12.0,9.0,-38.0,-35.0
2016-Q4,16.0,-36.0,6.0,0.0,-2.0,-5.0,-32.0,13.0,4.0,4.0,-2.0,-13.0,12.0,8.0,8.0,-42.0,-38.0
2017-Q1,20.0,-39.0,4.0,-1.0,0.0,-4.666667,-35.0,13.0,8.0,8.0,0.0,-16.0,10.0,2.0,11.0,-42.0,-40.0
2017-Q2,22.0,-42.0,3.0,-2.0,-1.0,-5.666667,-38.0,14.0,11.0,11.0,0.0,-20.0,10.0,4.0,15.0,-43.0,-38.0
2017-Q3,24.0,-45.0,4.0,3.0,1.0,-2.666667,-37.0,12.0,15.0,15.0,2.0,-23.0,10.0,2.0,16.0,-43.0,-41.0
2017-Q4,23.0,-47.0,-1.0,0.0,-3.0,-5.0,-39.0,12.0,19.0,19.0,4.0,-25.0,8.0,0.0,16.0,-46.0,-45.0
2018-Q1,24.0,-46.0,-1.0,5.0,3.0,-1.666667,-41.0,13.0,18.0,18.0,5.0,-27.0,8.0,-4.0,15.0,-48.0,-46.0
2018-Q2,23.0,-48.0,0.0,3.0,-1.0,-3.333333,-40.0,12.0,17.0,17.0,6.0,-28.0,8.0,-6.0,16.0,-47.0,-42.0
2018-Q3,25.0,-52.0,-3.0,2.0,1.0,-2.666667,-43.0,11.0,16.0,16.0,6.0,-29.0,9.0,-5.0,16.0,-46.0,-43.0
2018-Q4,24.0,-54.0,0.0,1.0,-1.0,-4.0,-45.0,12.0,16.0,16.0,6.0,-29.0,9.0,-4.0,18.0,-47.0,-46.0
2019-Q1,27.0,-53.0,-4.0,0.0,1.0,-3.333333,-45.0,11.0,7.0,7.0,3.0,-27.0,12.0,-2.0,19.0,-48.0,-46.0
2019-Q2,26.0,-53.0,-4.0,-3.0,1.0,-4.333333,-42.0,11.0,3.0,3.0,1.0,-24.0,14.0,1.0,18.0,-50.0,-47.0
2019-Q3,28.0,-54.0,-3.0,-4.0,2.0,-3.666667,-44.0,9.0,-1.0,-1.0,0.0,-22.0,16.0,3.0,18.0,-50.0,-47.0
2019-Q4,26.0,-54.0,-2.0,-7.0,-8.0,-8.333333,-44.0,10.0,-4.0,-4.0,-1.0,-19.0,15.0,5.0,15.0,-49.0,-48.0
2020-Q1,20.0,-53.0,1.0,-23.0,-14.0,-17.33333,-42.0,15.0,-12.0,-12.0,-3.0,-14.0,17.0,8.0,3.0,-44.0,-43.0
2020-Q2,7.0,-41.0,7.0,-30.0,-27.0,-23.33333,-23.0,13.0,-39.0,-39.0,-16.0,7.0,27.0,10.0,-40.0,-18.0,-14.0
2020-Q3,9.0,-43.0,6.0,-20.0,-10.0,-12.33333,-23.0,7.0,-37.0,-37.0,-16.0,5.0,25.0,9.0,-36.0,-16.0,-14.0
2020-Q4,10.0,-43.0,9.0,-8.0,1.0,-5.0,-26.0,8.0,-20.0,-20.0,-12.0,0.0,19.0,6.0,-22.0,-16.0,-16.0
2021-Q1,13.0,-42.0,8.0,-5.0,2.0,-3.666667,-22.0,8.0,-6.0,-6.0,-7.0,-6.0,12.0,0.0,-18.0,-20.0,-16.0
2021-Q2,12.0,-43.0,3.0,-9.0,-6.0,-5.333333,-25.0,1.0,2.0,2.0,-3.0,-10.0,9.0,-7.0,-13.0,-21.0,-16.0
2021-Q3,10.0,-48.0,-1.0,-11.0,-15.0,-7.333333,-26.0,-4.0,5.0,5.0,-2.0,-13.0,8.0,-12.0,-15.0,-23.0,-19.0
2021-Q4,12.0,-47.0,-6.0,-6.0,-14.0,-3.0,-30.0,-11.0,6.0,6.0,-1.0,-17.0,8.0,-20.0,-3.0,-30.0,-25.0
2022-Q1,11.0,-49.0,-16.0,-11.0,-13.0,-4.666667,-28.0,-10.0,2.0,2.0,0.0,-19.0,9.0,-30.0,-7.0,-33.0,-29.0
2022-Q2,10.0,-51.0,-25.0,-8.0,-9.0,-0.6666667,-29.0,-15.0,1.0,1.0,-1.0,-20.0,11.0,-39.0,6.0,-38.0,-34.0
2022-Q3,10.0,-54.0,-27.0,-7.0,-9.0,-0.3333333,-30.0,-15.0,0.0,0.0,0.0,-22.0,14.0,-40.0,8.0,-41.0,-39.0
2022-Q4,12.0,-54.0,-28.0,-2.0,-1.0,2.666667,-36.0,-11.0,2.0,2.0,-1.0,-23.0,16.0,-38.0,12.0,-43.0,-41.0
2023-Q1,15.0,-55.0,-31.0,4.0,10.0,7.0,-38.0,-7.0,-4.0,-4.0,-1.0,-22.0,19.0,-39.0,13.0,-46.0,-46.0
2023-Q2,15.0,-58.0,-27.0,7.0,10.0,7.0,-41.0,-4.0,-1.0,-1.0,-1.0,-23.0,20.0,-31.0,17.0,-47.0,-46.0
2023-Q3,15.0,-61.0,-27.0,11.0,16.0,9.333333,-45.0,-1.0,0.0,0.0,-2.0,-23.0,21.0,-28.0,18.0,-51.0,-49.0
2023-Q4,15.0,-62.0,-28.0,12.0,17.0,8.333333,-48.0,4.0,5.0,5.0,-2.0,-25.0,20.0,-26.0,21.0,-50.0,-51.0
