country,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS
2014-12,-10.15443,62.0,5.0,3.0,-42.0,-8.966684,14.53671,4.732882,24.4666,
2015-01,-9.231498,62.0,2.0,-2.0,-44.0,-10.20908,14.30551,2.03468,32.91526,
2015-02,-13.74828,62.0,-2.0,3.0,-46.0,-17.29123,7.755166,5.623623,22.61426,
2015-03,-12.69496,60.0,-2.0,0.0,-48.0,-12.50676,9.915111,7.312267,16.60805,
2015-04,-9.327139,61.0,-1.0,-2.0,-48.0,-14.92643,18.01858,7.539929,10.72248,
2015-05,-9.755067,61.0,-1.0,4.0,-45.0,-16.42616,19.7348,5.86856,8.577968,
2015-06,-11.638,60.0,-3.0,3.0,-50.0,-21.29634,18.08601,-0.903355,8.478006,
2015-07,-13.64322,60.0,-2.0,3.0,-50.0,-11.70131,12.07035,-1.682687,16.84317,
2015-08,-7.331215,61.0,-2.0,3.0,-38.0,-7.812326,19.00635,-10.77633,21.98401,
2015-09,-9.334208,60.0,-1.0,5.0,-41.0,-9.058961,17.99738,9.694221,20.20326,
2015-10,-10.85816,62.0,0.0,4.0,-49.0,-11.26093,20.42551,9.936991,13.73056,
2015-11,-9.411841,61.0,1.0,5.0,-44.0,-14.74061,20.76448,2.239702,6.063118,
2015-12,-13.14149,62.0,2.0,7.0,-49.0,-15.57886,16.57552,4.45171,7.200686,
2016-01,-15.37649,63.0,2.0,8.0,-48.0,-8.886161,9.870536,2.897092,12.47929,
2016-02,-21.35452,63.0,0.0,9.0,-55.0,-13.86329,-0.06354507,2.756726,18.57913,
2016-03,-12.49411,64.0,1.0,3.0,-49.0,-10.99356,14.51768,2.569045,8.419279,
2016-04,-9.03805,64.0,2.0,2.0,-41.0,-6.055564,15.88585,4.359555,9.573318,
2016-05,-10.57053,63.0,2.0,4.0,-42.0,-4.826996,14.28841,7.241821,16.05335,
2016-06,-13.48709,63.0,0.0,3.0,-46.0,-4.720058,8.538733,11.34728,14.96464,
2016-07,-9.878813,63.0,1.0,-1.0,-41.0,-5.551177,10.36356,13.02042,8.333482,
2016-08,-9.730625,63.0,0.0,-2.0,-40.0,-1.75151,8.808124,12.06585,7.987125,
2016-09,-7.325951,64.0,2.0,-2.0,-38.0,-3.621964,14.02215,0.6856296,8.009699,
2016-10,-7.682672,64.0,1.0,-2.0,-39.0,4.571042,13.95199,17.82702,14.86505,
2016-11,-10.51466,64.0,3.0,1.0,-40.0,-3.557751,9.456023,9.619822,11.4743,
2016-12,-10.82703,64.0,5.0,2.0,-39.0,-1.894363,8.518896,7.606034,12.84553,
2017-01,-5.733114,64.0,8.0,-1.0,-40.0,-4.267822,21.80066,14.04198,9.889622,
2017-02,-10.73243,63.0,7.0,3.0,-45.0,4.342619,15.80271,7.564484,5.42787,
2017-03,-12.29021,63.0,6.0,11.0,-42.0,0.7773083,16.12938,8.407369,13.45474,
2017-04,-13.28681,64.0,9.0,10.0,-37.0,-0.1898142,7.139555,10.66022,10.67003,
2017-05,-11.15898,65.0,7.0,11.0,-32.0,0.9225585,9.523068,8.132383,8.050882,
2017-06,-5.750242,64.0,5.0,9.0,-36.0,0.6790556,27.74928,2.913283,11.1589,
2017-07,-12.76368,66.0,4.0,10.0,-35.0,0.6868718,6.708947,7.619346,13.2413,
2017-08,-10.63262,64.0,6.0,10.0,-34.0,-3.584786,12.10213,4.227118,13.54173,
2017-09,-8.753621,65.0,7.0,7.0,-36.0,-2.171864,16.73914,-6.510906,11.3756,
2017-10,-8.626035,66.0,8.0,6.0,-34.0,-4.574278,14.1219,-1.396108,6.769256,
2017-11,-1.511701,65.0,8.0,1.0,-31.0,0.2695934,27.4649,15.40169,9.856343,
2017-12,-6.40459,64.0,8.0,8.0,-28.0,0.4058979,16.78623,6.046333,7.414407,
2018-01,-8.415395,62.0,10.0,0.0,-35.0,0.04087812,9.753815,17.4627,8.0505,
2018-02,-11.52458,62.0,9.0,1.0,-45.0,-2.727145,11.42626,1.626621,7.751605,
2018-03,-7.105353,64.0,9.0,1.0,-34.0,-5.778927,13.68394,5.316649,13.01456,
2018-04,-5.269328,64.0,9.0,2.0,-26.0,-3.83116,12.19202,2.838245,17.72839,
2018-05,-5.362672,63.0,9.0,-2.0,-31.0,2.067938,12.91198,10.49783,13.20773,
2018-06,-9.540557,64.0,6.0,0.0,-40.0,-9.652514,11.37833,0.302635,10.33315,
2018-07,-5.751993,64.0,6.0,-2.0,-35.0,-21.21261,15.74402,-5.958415,9.798354,
2018-08,-7.645961,65.0,5.0,2.0,-32.0,-10.84027,11.06212,-4.458556,10.16432,
2018-09,-10.011,65.0,5.0,4.0,-34.0,-12.19839,7.966995,-2.426164,13.71097,
2018-10,-7.876893,64.0,5.0,-5.0,-37.0,-7.821323,8.369323,-1.501564,10.61735,
2018-11,-10.90596,65.0,7.0,2.0,-37.0,-7.184653,6.282117,-1.509207,12.36756,
2018-12,-5.98463,65.0,8.0,1.0,-39.0,-9.002768,22.04611,9.21371,16.43829,
2019-01,-5.685701,62.0,9.0,-2.0,-35.0,-7.421972,15.9429,1.508831,12.15569,
2019-02,-8.593056,63.0,8.0,3.0,-40.0,-16.54467,17.22083,5.728232,20.8219,
2019-03,-9.816551,63.0,8.0,3.0,-42.0,-5.059649,15.55035,7.623029,13.11667,
2019-04,-4.182734,63.0,9.0,1.0,-35.0,-9.2836,23.4518,3.605546,8.438917,
2019-05,-8.214262,64.0,8.0,5.0,-35.0,-8.991677,15.35721,0.1343505,-5.052449,
2019-06,-12.15822,64.0,6.0,2.0,-43.0,-8.547462,8.525347,1.661249,6.992291,
2019-07,-10.27211,64.0,6.0,-2.0,-42.0,-12.2479,9.183671,-2.915535,10.57609,
2019-08,-10.49501,63.0,6.0,1.0,-40.0,-14.89353,9.514964,-3.276265,11.1949,
2019-09,-8.210421,64.0,8.0,4.0,-33.0,-5.425924,12.36874,-1.358737,5.349328,
2019-10,-10.73303,65.0,9.0,5.0,-39.0,-12.50175,11.80092,-3.944528,9.744528,
2019-11,-10.24637,66.0,9.0,5.0,-39.0,-15.74713,13.26088,-1.216849,5.886871,
2019-12,-12.28477,64.0,9.0,8.0,-42.0,-9.880162,13.14568,-3.093128,3.222927,
2020-01,-13.33486,62.0,11.0,4.0,-46.0,-10.42781,9.995429,5.786897,2.889069,
2020-02,-14.28642,62.0,10.0,5.0,-42.0,-8.741467,4.140746,5.737323,1.201951,
2020-03,-17.52944,63.0,8.0,13.0,-39.0,-11.7617,-0.5883221,-0.8588037,-0.5138664,
2020-04,-30.25329,59.0,2.0,8.0,-54.0,-50.50961,-28.75987,-36.00639,10.79329,
2020-05,-18.60152,58.0,1.0,6.0,-53.0,-38.2665,3.195436,-23.81915,3.082381,
2020-06,-14.70516,58.0,0.0,6.0,-51.0,-20.17679,12.88451,-5.638073,5.889403,
2020-07,-10.50955,60.0,2.0,2.0,-43.0,-5.439805,13.47136,1.064257,5.813177,
2020-08,-6.999621,61.0,4.0,-1.0,-37.0,-6.561745,15.00114,0.3581542,7.667045,
2020-09,-8.563299,63.0,6.0,-4.0,-39.0,-2.125834,9.310102,1.218352,14.81724,
2020-10,-7.369757,63.0,6.0,-8.0,-42.0,-6.330067,11.89073,2.363457,16.71492,
2020-11,-1.025167,62.0,8.0,-11.0,-31.0,5.106299,16.9245,16.36027,22.86396,
2020-12,-6.196464,62.0,9.0,-14.0,-33.0,5.837123,0.4106096,18.24504,4.610326,
2021-01,-3.805606,60.0,12.0,-5.0,-34.0,-7.565021,17.58318,-0.09432871,28.39564,
2021-02,-0.8726448,60.0,13.0,-9.0,-33.0,7.462444,21.38206,11.07187,31.35194,
2021-03,-0.942416,61.0,14.0,-6.0,-32.0,6.743146,23.17275,10.8865,30.15784,
2021-04,-1.74606,60.0,12.0,-3.0,-29.0,5.950238,20.76182,11.25293,34.38093,
2021-05,2.541043,60.0,12.0,-8.0,-23.0,7.141807,22.62313,13.24089,41.88288,
2021-06,5.554491,60.0,12.0,-8.0,-19.0,5.153738,27.66347,12.71259,37.49137,
2021-07,3.958132,61.0,12.0,-5.0,-17.0,9.399816,23.8744,16.6471,31.13265,
2021-08,7.501704,60.0,12.0,-11.0,-11.0,18.30546,22.50511,20.34071,30.24768,
2021-09,5.292543,61.0,12.0,-11.0,-17.0,9.28703,21.87763,21.23432,30.12199,
2021-10,8.957513,60.0,13.0,-13.0,-9.0,15.15576,22.87254,23.12539,30.68248,
2021-11,4.579766,60.0,14.0,-7.0,-12.0,8.912283,18.7393,12.31087,29.97992,
2021-12,4.047902,60.0,16.0,-10.0,-17.0,7.971423,19.14371,10.593,28.84011,
2022-01,6.078052,64.0,20.0,-10.0,-29.0,9.398647,37.23415,12.18268,33.9921,
