country,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN
1997-01,,131.049559112328,2393.0,2396.0,,,,,,,,,,,,1.71406311262011,4.60737180701006,19.64598108,16.3143241775428,,,,,,12.06,12.06,,,96.0761407015803,2396.0,103.117465307691,,102.378164069533,98.2915302632896,12.23,101.239030429473,344340.230720372,107.418508963601,103.959465036135,6.64489526742173,48.917386526961,105.552851229966,108.134379608767,45.5390667762264,2.18556898394902,30.2238946541869,6.67294837496042,6.59853066179249,290.853,289.269798046849,4.2059130749156,3.12880808773511,3.07333426499004,65.876,65.5929792818089,4.98052956416464,6.56538614568679,66.1323174316585,69.5726657476585,,,,114.043811315683,117.161026704003,4.243,4.45389423008919,1.65647157610672,16.0923620008084,10153.499,10658.1688926034,3.7205,3.80151519271128,3.05558115744758,12.6376838180347,8903.1565,9097.02585615808,0.5225,0.652379037377918,1250.3425,1561.14303644536
1997-02,,133.923549106172,2403.0,2406.0,,,,,,,,,,,,0.72769051042984,3.99367335332444,19.78894302,16.4330419664235,,,,,,11.75,11.75,,,95.9249443979779,2406.0,103.263508650986,,102.643001467878,98.1393578312931,11.73,101.27351235351,351931.072487285,107.800994622935,104.163950731997,6.3012484480076,49.1539229384563,105.602393432012,108.207684291448,45.5969104092096,1.82238466500818,29.7323007301818,6.72601091516736,6.71878127268886,293.24,294.155420493238,1.76009159294321,3.15037860323244,3.12742776301117,64.985,64.3415137649775,-16.8437879896443,7.83411082538685,52.743963327379,57.853993430379,,,,130.83932238193,122.98193856905,4.078,4.41409340661975,-0.89361851479451,11.987159838113,9799.434,10607.0664561073,3.1168,3.5892208709504,-5.58446595630899,9.63082013491246,7489.6704,8624.89775289381,0.9612,0.824872535669352,2309.7636,1982.16870321345
1997-03,,133.445198248795,2413.8,2419.0,,,,,,,,,,,,0.0380228493881403,4.73726114856087,19.79646734,16.4392902772203,,,,,,11.07,11.07,,,95.7991033189904,2419.0,103.366157737355,,102.805308426161,98.0452974197259,10.88,101.314481939909,374360.989403936,108.070529142655,104.308050131488,5.8446234108554,49.3328490385082,105.71320598837,108.37164711396,45.6487531150958,1.57383992308873,27.9757031888018,6.76893998415423,6.82452413470344,294.581,298.451977057601,-0.855476474303765,3.09474304372983,3.10067335424777,63.565,64.4814202617878,22.8990018565373,10.1079407149575,69.5697948860825,71.1019804600825,,,,106.802489800188,109.437398113419,4.0837,4.18274021100004,-5.24123923777307,2.87840705179864,9857.23506,10096.2983213119,3.8236,3.82203915947009,6.48659686574388,7.12271372409782,9229.40568,9225.63812312892,0.2601,0.36070105152995,627.82938,870.660198182992
1997-04,,133.675355229825,2426.8,2433.0,,,,,,,,,,,,0.418091968523918,4.88289002869101,19.87923478,16.5080216295517,,,,,,10.72,10.72,,,95.720688271576,2433.0,103.317310396479,,102.868489661332,98.0394013443409,10.75,101.348385586298,349841.013992575,108.140270717592,104.345335593396,5.23562193062427,49.4144394053574,105.900201205,108.648332938405,45.6947620691677,1.30880473798863,26.2791347421179,6.83845789978558,6.91384382992362,299.277,301.911494190054,1.18946891330036,3.08506520083929,3.13755489989953,64.583,65.8738225184273,-1.02159446462381,6.89249847561338,68.5930548244644,70.3756065634644,,,,117.559892025644,119.316033779871,4.1809,4.41007192328485,5.4349947837295,5.89972137337102,10146.20812,10702.3625434277,3.5564,3.69612681848031,-3.29437600548393,-0.0680025125981474,8630.67152,8969.76056308802,0.6245,0.713945104804541,1515.5366,1732.60198033966
1997-05,,130.823093667985,2438.3,2440.0,,,,,,,,,,,,0.302800890809732,4.49526811313535,19.93942928,16.5580080661011,,,,,,10.63,10.63,,,95.7197025739992,2440.0,103.139901364038,,102.811256743847,98.1455151614714,10.63,101.374012268019,360196.480218779,107.98161690221,104.260515587606,4.49964617854788,49.3855361600564,106.146907543948,109.013369798802,45.7351330502678,1.16600051738936,25.1419693284543,6.94308599013286,6.99445928475202,303.667,305.452218238565,1.84512564040121,3.12538954621656,3.19544672983924,65.24,66.8866382699328,0.682284370058776,5.64263686447585,71.123944818381,70.855768327381,,,,126.282832760723,126.644257668649,4.5578,4.58599872834475,3.98920489552605,12.8979084086925,11113.28374,11182.040699323,3.6092,3.62116594369682,-2.02809260788064,-4.6202541949039,8800.31236,8829.48892051596,0.9486,0.964832784647933,2312.97138,2352.55177880705
1997-06,,130.227647334346,2446.59,2450.0,,,,,,,,,,,,-0.0377358343327408,5.24433851111372,19.93190497,16.5517597636084,,,,,,10.5,10.5,,,95.8331275276671,2450.0,102.849316761438,,102.572926223652,98.3824959772138,10.5,101.37256098598,382408.560647417,107.53318492397,104.020773461647,3.61225187545786,49.2180370871584,106.409081764346,109.401293573681,45.7700914577743,1.57558819117116,24.834056354965,7.09925660000406,7.10466315927885,312.839,311.481045120538,2.37844408943888,3.25459597107613,3.27144864371627,69.95,69.0314558511599,0.247856353013722,9.08908110346956,72.1276666496571,71.0313888506571,,,,122.238396506355,125.501645159116,4.3666,4.3806624082032,-4.47746134058934,4.43138814479012,10683.279894,10717.6848412859,3.5722,3.49052189925415,-3.60778949305186,-7.82035633072079,8739.708798,8539.87597349622,0.7944,0.890140508949044,1943.571096,2177.80886778964
1997-07,,129.546865358252,2518.3,2599.0,,,,,,,,,,,,0.792751973470783,5.36700868556857,20.08991554,16.6829741657786,,,,,,10.87,10.87,,,96.0991327939651,2599.0,102.450747061077,,102.116694189221,98.750361996572,11.0,101.317699533829,365322.333600912,106.746873305041,103.600393050938,2.4933753809685,48.889954107401,106.61452931658,109.705282233898,45.7998933305453,1.62636593598082,24.8161969833112,7.25892786356947,7.22021098076754,317.533,315.485810681572,1.68248969255447,3.35156699386993,3.32649042994401,69.268,69.1734461938366,-2.44780003245496,6.86316130557153,73.1799556663175,69.2926824913175,,,14.7529359543607,125.580631025416,128.831840310138,4.5852,4.44815736041756,1.54074762958149,9.65320523526684,11546.90916,11201.7946807395,3.6512,3.45268479415451,-1.08399563709163,-1.24690558432394,9194.81696,8694.8961171193,0.934,0.995472566263045,2352.0922,2506.89856362023
1997-08,,122.133482078485,2800.37,3035.0,,,,,,,,,,,,0.936329571050054,6.39557833497992,20.27802336,16.8391817862234,,,,,,13.67,13.67,,,96.5428961587658,3035.0,101.979270344761,,101.479657926555,99.1865760628892,20.75,101.206930174155,360971.327397769,105.678471209881,103.02920053546,1.14603874188812,48.4269766388686,106.67308509669,109.791923777932,45.8248270290465,2.2142525205522,26.1879833843767,7.4094559724204,7.38008468439837,325.911,325.363674528163,-2.95869510103098,3.23805697091244,3.22806972055699,65.235,64.9423941849699,1.718901135737,8.74077822922286,72.9964796326434,70.4837551976434,-13.957502494739,,12.6937945504836,143.05542872797,137.34920541884,4.6998,4.57438913750243,2.83784423204458,8.78842330609665,13161.178926,12809.9821089877,3.2853,3.3304809616867,-3.53938571730331,-3.57081799528793,9200.055561,9326.57897067859,1.4145,1.24390817581573,3961.123365,3483.40313830909
1997-09,,112.632487960398,3055.3,3275.0,,,,,,,,,,,,1.07606681443333,7.32860522199068,20.49622844,17.0203826332471,,,,,,22.0,22.0,,,97.1739789737775,3275.0,101.423401257397,,100.78467404368,99.5978574420436,22.0,101.047443340855,362433.24899749,104.432376098082,102.363009216052,-0.358599370342774,47.8772472643513,106.492345393251,109.524493868454,45.8452149162876,2.10263038058924,27.203946668299,7.54235414441004,7.53526058708575,329.074,328.960506651442,-2.24973543138721,3.16559352041359,3.15544669230374,66.258,66.1561946137319,-0.312274086328543,9.05385525598645,72.6457166270899,70.2636526950899,-12.5981391141094,,11.0946126541544,136.347574221579,138.353764897264,4.7074,4.51553855965274,-1.28652320737668,6.52356372929772,14382.51922,13796.324961307,3.4525,3.26376269052439,-2.00326234948725,-7.90274754300493,10548.42325,9971.77414835918,1.2549,1.25177586912835,3834.09597,3824.55081294786
1997-10,,96.0562220748769,3616.3,3670.0,,,,,,,,,,,,1.39500733433473,8.39874412228263,20.78215233,17.2578182193127,,,,,,20.7,20.7,,,98.0243365079895,3670.0,100.79868268545,,100.15265805953,99.9538249257631,20.5,100.847159716344,324523.025390624,103.082602752111,101.641389110379,-1.99148325697911,47.2751402806325,106.005447187738,108.804059229315,45.8614150384986,2.5753619081506,27.1724419123356,7.71316071100933,7.72932081792544,340.744,342.214890246081,2.07307917942389,3.2165346038872,3.22086160069971,67.351,67.6601717338743,-3.63585642010349,1.34653433100926,71.3451953295762,67.7089671675763,-6.23301372417414,,10.403083924777,131.742636644796,135.734374664926,4.5579,4.34848607298519,-3.69950304843377,2.09025634782053,16482.73377,15725.4301857363,3.4597,3.20367341266342,-1.84110438039597,-8.21721940439488,12511.31311,11585.4441622147,1.0982,1.14481266032177,3971.42066,4139.98602352162
1997-11,,102.557321406872,3492.0,3648.0,,,,,,,,,,,,0.796524235658901,8.79249706752373,20.94768721,17.3952809239755,,,,,,20.0,20.0,,,99.1360549674203,3648.0,100.138056731446,,99.6614228491957,100.309310476333,20.0,100.634847116272,320900.617276992,101.655341112561,100.878341967516,-3.73630133741518,46.6331883174768,105.174634659593,107.574754793337,45.8738201132401,0.35763030048235,23.5317081757504,7.73026094369321,7.75696321119183,330.559,331.36083324013,3.09127456445984,3.30315370518117,3.32042727611859,69.856,70.2928259097199,-6.40672735623646,-5.84341430471552,63.547463898426,63.371038245426,-13.9234680768764,,8.95461385550003,143.787836882702,146.927634270168,4.679,4.57843836927368,5.28810009803323,5.27383759368251,16339.068,15987.9067855037,3.2541,3.11611793929448,-2.73297125177783,-14.4287491756425,11363.3172,10881.4838440163,1.4249,1.4623204299792,4975.7508,5106.42294148738
1997-12,,77.7107168995059,4908.8,4650.0,,,,,,,,,,,,1.7241379746571,10.3233346402562,21.30885424,17.695199568184,,,,,,20.0,20.0,,,100.556431645539,4650.0,99.458564485458,,99.3656068203394,100.76824438551,20.0,100.420024813794,330515.645180287,100.125249029651,100.060319287001,-5.61159437678662,45.9403243640794,104.015451918047,105.859580264767,45.8828565314977,1.22190997065808,21.5930039815356,7.901827520634,7.85174631808966,355.643,350.445379171292,5.85561956639434,3.56777770780022,3.51485886538689,78.343,75.7381744563201,5.90187485191531,1.26621699997093,65.3930169430304,67.1111176150304,-10.9546143114608,,7.97367044454938,148.013088758141,152.864905008759,4.7043,4.44018422429398,-3.01967906584783,1.34355197307392,23092.46784,21795.9763202143,3.1783,2.90464591859038,-6.78639335300555,-21.2577201398877,15601.63904,14258.3258851765,1.526,1.5355383057036,7490.8288,7537.65043503781
1998-01,,43.1699930329759,9662.5,10375.0,,,,,,,,,,,,7.16807906608497,16.2389888649939,22.83628976,18.963605464133,,,,22.86,22.86,20.0,20.0,,,102.304047456377,10375.0,98.785312555322,97.583412919329,99.2656969003463,101.457191575857,20.0,100.193447283562,321092.808237484,98.4438768726067,99.1614187736199,-7.65064342439719,45.1748917112491,102.602415472531,103.768793340131,45.8889807536822,17.1701047215219,39.4234543251292,9.28525361772192,9.1998993833739,450.697,448.427673909014,15.1698495172253,4.12013697964259,4.04805766600893,92.8,92.4455089137469,-15.1991206586656,-18.1994577011614,53.062348209343,56.910817873343,6.62466664115961,,8.50189953056544,160.620959312454,161.078060841595,4.149,4.39438421633783,-1.03148891222926,-1.33613441804093,40089.7125,42460.7374903643,2.5831,2.72810846702412,-6.07776150739688,-28.2362866192201,24959.20375,26360.3480626206,1.5659,1.66627574931371,15130.50875,16100.3894277437
1998-02,,50.4035005496197,8950.0,8750.0,,,,,,,,,,,,12.6523888090655,30.0000000202133,25.72562593,21.3629545596723,,,,24.0,24.0,22.0,22.0,,,104.311005178818,8750.0,98.136514929609,98.2266590023891,99.2806954696437,102.502163201826,21.13,99.9678618398245,292331.41611017,96.6201266037806,98.1863996227085,-9.79039692167943,44.341558780205,101.055503953265,101.479919342353,45.8926730266465,10.1728131141645,50.857537147944,10.144272579171,10.1357879543357,430.241,431.713241880572,9.56883764382644,4.46117260747205,4.4354097317978,92.509,91.831398061409,-8.90602315291067,-10.3910997614732,46.3816620420322,51.8423272570322,18.9631921417373,,10.114131074244,168.875697705325,164.038740533581,3.8122,4.19926750309403,-4.44013776761672,-4.86681825091314,34119.19,37583.4441526916,2.2574,2.55992425291413,-6.16486536891429,-28.677438782521,20203.73,22911.3220635815,1.5548,1.6393432501799,13915.46,14672.1220891101
1998-03,,49.5150385540547,9687.57,8325.0,,,,,,,,,,,,5.29394559225017,36.8301025873842,27.08752657,22.4938977509584,,,,27.26,27.26,27.75,27.75,,,106.389377616798,8325.0,97.5261195881387,98.8720016719112,99.2860748268159,103.955445567367,33.5,99.7728172575989,273903.210039606,94.6785660526782,97.1483963651698,-11.9203787034756,43.4521866079041,99.5053968911057,99.1863170876951,45.8944282951304,0.829303486416865,49.7517511184085,10.1342197151083,10.2198443972168,449.824,455.726713209038,3.9941275277151,4.59285867864437,4.61256565286248,98.27,99.8057635824635,15.1813291203725,-16.0182582887318,58.7231234835829,59.7126815815829,2.79661027517174,,10.3969839031107,192.579594943131,185.989236467706,4.5547,4.50607852947557,7.30629868555596,7.73029885110211,44123.975079,43652.9511797916,2.3651,2.42276306686057,-5.35801736701465,-36.6107209849603,22912.071807,23470.6868036265,2.1896,2.08331546261499,21211.903272,20182.2643761651
