time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12,101.181732789898,1.49966916841814,9.64311024972839,36.1197122224297,36.1197122224297,1.58237400052936,11.0567022372824,36.7321390891061,36.7321390891061,2.70500217804702,11.2309070976472,28.6253548617113,1.58130078584763,11.422336425326,38.0307928286559,101.213736378093,0.160412512881304,100.625356286701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28679460603062,19.214740084261,10.4873350794976,10.3608353350154,0.753543432851113,8.59911015751762,8.33018733797786,1.37575122112302,10.084577758224,42.7720624790609,,,,0.399430326719535,5.83362623166991,62.1597370554352,,,,5.33634877229961,-5.02343460863453,121.250498351421,0.567148256857713,2.37318465341943,63.2607404278873,,,,,,,,,,
1988-01,101.102413555022,1.72912033756307,10.1001765860411,36.744265512337,36.744265512337,0.960510918438376,11.1529627943985,37.084955295633,37.084955295633,0.346348311665179,9.89003607571834,28.724498294983,0.87376203607897,11.597424719595,38.3630914584125,101.347665639519,0.155285246810923,100.781612619565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59259036516304,19.4858501308009,10.6356492572076,10.5258410003113,1.61972615741729,8.58540438331209,8.46511356125296,1.19794540231503,10.26177882811,43.2844484350041,,,,0.415053034653394,7.3291866087905,62.4177329304164,,,,-1.79476166200124,18.9660176703428,119.074340892024,-0.107959063806612,6.06389609617909,63.1924447247642,,,,,,,,,,
1988-02,101.030824168834,0.532745630461767,9.88587567874293,36.9400189812992,36.9400189812992,0.687318739217083,11.2047461099658,37.3398471428101,37.3398471428101,-0.105377067236136,8.7410559907099,28.6942292611015,0.73794578348956,11.7331173075539,38.6461902742461,101.468415135282,0.0313713049765008,100.81322912662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29944521080636,17.8688928882084,10.6862254883185,10.6626185370869,1.00061551790849,8.43288985912525,8.54981680115543,0.569339465262944,10.4157622719621,43.530883882266,,,,0.66471493371349,6.38092788093713,62.8326329224903,,,,1.59229932131277,6.91828437303317,120.970360813906,0.527821590007477,4.13381725867601,63.5259880912751,,,,,,,,,,
1988-03,101.018319442525,0.607695851860164,9.90237677199953,37.164501944325,37.164501944325,0.752083824046199,11.2350645034866,37.6206740930948,37.6206740930948,-0.221676255575762,8.34340814880149,28.6306209681092,0.868712220983366,11.8592035969959,38.981914452103,101.551063163294,0.0957018070216729,100.909709208611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40477318288405,18.1429730941719,10.8693934263968,10.8124041428891,1.20922527869663,8.62495625688379,8.65320334719725,0.45351326580338,10.3560174472209,43.7283022153935,,,,-0.0566499733134772,5.9870285008894,62.7970382527075,,,,-1.4696279901068,3.95361151930866,119.192546531651,0.918326343837084,5.19010940444246,64.1093639751001,,,,,,,,,,
1988-04,101.112619386147,0.765203027877711,9.8121128566436,37.4488858384986,37.4488858384986,0.74364500061849,10.9205537946794,37.900438355187,37.900438355187,0.65739514745283,7.3579721737886,28.8188372810391,0.750724578245063,11.5611498268556,39.2745612649654,101.582879884204,-0.0730366129236193,100.836008174894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25748716927441,17.9206801924597,11.026128736529,10.9483687376761,1.41174666165284,8.86050221242457,8.77536465657734,0.640067482412379,10.1003635738654,44.0081928584852,,,,0.454174801520572,6.0221897860485,63.0822465765526,,,,-0.85405127022948,1.72985102819377,118.174581073979,-1.10615900590627,2.34183931064843,63.4002124718603,,,,,,,,,,
1988-05,101.267855770813,0.328247690233244,8.91283271627123,37.5718109412816,37.5718109412816,0.440234608405808,10.5842338632448,38.0672892015641,38.0672892015641,0.693736191282765,7.41364321267664,29.0187639851646,0.465143310895867,11.3989118571576,39.4572442595731,101.621808734012,0.0916301735953116,100.928404384231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10639314968085,17.6679688892478,11.0765870442257,11.0695007393915,1.17280812469377,8.85626593651841,8.87828284624118,0.45623804329863,9.84091926996876,44.2089749764739,,,,0.0181809375010547,5.41493783526471,63.0937155203769,,,,2.1678139255348,7.39107691768865,120.736386098943,1.40639750898327,5.06409675177632,64.2918714807546,,,,,,,,,,
1988-06,101.436577905258,0.447759834675016,8.9728229016813,37.7400424198366,37.7400424198366,0.39719330027149,10.3496653731032,38.2184899238677,38.2184899238677,1.12534480065854,6.85472987965414,29.345325136887,0.341984798924813,11.076480150288,39.5921820370154,101.654366935907,0.00434444609849388,100.932789164358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04574511978696,17.4233771330045,11.2205583763324,11.1852595031585,1.29108573989815,9.00036883918839,8.99290909001683,0.406165407519935,9.63323878933171,44.3885365398475,,,,0.413512046519425,5.4066712427497,63.3546156346504,,,,-0.00765565188611756,4.4249456654222,120.727142941523,0.212175755086142,4.16301783044517,64.4282832445279,,,,,,,,,,
1988-07,101.502647494782,0.707449040936483,9.65502676965065,38.0070339879848,38.0070339879848,0.418194086891513,10.0571301502189,38.3783173888285,38.3783173888285,0.272795791456845,6.3970948823505,29.4253779488497,0.365838194115461,10.640867599463,39.7370253607906,101.701680673805,-0.0393400956956286,100.893082108512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.856800318636686,16.7477961689539,11.3435927918894,11.2810948422219,1.12922623826305,9.11727863284927,9.09445937904444,0.671160106282356,9.34006334572112,44.6864546888655,,,,-0.145857246383867,4.94526190004398,63.2622083368286,,,,0.0285827411798457,1.76216028839537,120.761650068324,-0.170252977748558,2.87480280411261,64.3185921737918,,,,,,,,,,
1988-08,101.498142004498,0.661924564119162,9.61927475520074,38.2586118820444,38.2586118820444,0.430916374741427,9.58907253971161,38.5436958428072,38.5436958428072,0.64850848070702,5.02668071350496,29.6162040203281,0.405102456413944,10.2209840406219,39.898001026633,101.788634238666,0.16316756135071,101.05770689016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.819871865889746,15.9629322294412,11.3974384798514,11.3735853649976,0.799939849676613,9.08263780953754,9.16720958373007,0.321550557293839,8.86230730345776,44.8301442329524,,,,0.731405273154142,5.16317021544756,63.7249114645179,,,,0.104732966147217,-2.659336911058,120.888127326409,0.478941312763057,2.6673701915167,64.6266404834997,,,,,,,,,,
1988-09,101.507259628165,0.815285081365778,9.49987833270544,38.5705286370563,38.5705286370563,0.679400205785642,9.31263907542579,38.8055617916806,38.8055617916806,-0.0722379529712603,5.07708300601933,29.594809880796,0.702822338765943,9.87239618693616,40.1784130905692,101.83356574272,0.0337139083858706,101.091777392878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.841793286388257,15.2788595026401,11.4800925484707,11.4693274430218,0.504867159531654,9.12653730019044,9.21349181436376,0.281589547949305,8.54917418713076,44.956381233443,,,,0.362924809725424,5.05631619704281,63.9561849781982,,,,0.950999696668804,1.14056274611851,122.037773050592,-0.253152164435614,3.34963122755257,64.4630367443137,,,,,,,,,,
1988-10,101.564114321003,0.398262264689747,8.95332743499582,38.7241404979091,38.7241404979091,0.550183910826003,8.79963052628785,39.0190637491641,39.0190637491641,-0.906017536414825,5.0035612014336,29.3266757134074,0.732729437236118,9.3696720258831,40.4728121506981,101.815813683288,-0.0616823088555974,101.029421650519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86970448431751,14.5071042419045,11.5775072854175,11.5690766981148,0.646507624198163,9.1562593535202,9.2730577413985,0.585643204934506,7.94854013302966,45.2196652253211,,,,0.0218067837240996,3.79063652132297,63.9701317651346,,,,-3.82525698729613,2.62359662940307,117.369514609833,0.933322059354421,3.88662520449067,65.0646844863781,,,,,,,,,,
1988-11,101.589098100991,0.12353929738181,8.95278239520321,38.7719800289973,38.7719800289973,0.364450834826194,8.3001093293401,39.1612690527393,39.1612690527393,-0.300497479496778,4.90508622808379,29.2385497920684,0.461385186059629,8.60277786974732,40.6595477103432,101.774812914206,-0.0264839390119375,101.002665080105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968496874335827,14.1938320651107,11.712987728849,11.6811228443256,1.20101411751203,9.32552289940259,9.38442847399774,0.500193693269565,7.71300311609486,45.4458511388958,,,,0.866160641525671,4.21849934355504,64.5242158688163,,,,3.42351902179899,5.45552727556501,121.387682268294,0.744545167189659,4.20504201880623,65.5491204502687,,,,,,,,,,
