country,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN
subject,BSCICP02,BSCICP03,BSEMFT02,CCRETT01,CCUSMA02,CCUSSP02,CP010000,CP010000,CP010000,CPALTT01,CPALTT01,CPALTT01,CPALTT01,CSCICP02,CSCICP03,CSCICP04,CSCICP04,CSESFT02,IR3TIB01,IR3TTS01,IRLTLT01,IRSTCB01,IRSTCI01,LOLITOAA,LOLITONO,LOLITOTR,LOLITOTR,LORSGPNO,LORSGPRT,MABMM301,MABMM301,MABMM301,MABMM301,MABMM301,MABMM301,MANMM101,MANMM101,MANMM101,MANMM101,MANMM101,PIEATI01,PRCNTO01,PRCNTO01,PRCNTO01,PRENEL01,PRINTO01,SLRTCR03,SLRTTO02,SLRTTO02,SPASTT01,SPASTT01,SPASTT01,XTEITT01,XTEITT01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTNTVA01,XTNTVA01,XTNTVA01,XTNTVA01
measure,STSA,IXNSA,STSA,IXOB,ST,ST,GP,GY,IXOB,GP,GY,IXNB,IXOB,STSA,IXNSA,GPSA,IXNSA,STSA,ST,ST,ST,ST,ST,STSA,STSA,GYSA,STSA,STSA,STSA,GPSA,GYSA,IXOB,IXOBSA,ST,STSA,GPSA,IXOB,IXOBSA,ST,STSA,GY,IXOB,IXOBSA,ML,ML,IXPY,IXOB,ML,MLSA,GP,GY,IXOB,ST,STSA,CXML,CXMLSA,GPSA,GYSA,NCML,NCMLSA,CXML,CXMLSA,GPSA,GYSA,NCML,NCMLSA,CXML,CXMLSA,NCML,NCMLSA
unit,Percentage,Index,Percentage,Index,Yuan Renminbi,Yuan Renminbi,Percentage,Percentage,Index,Percentage,Percentage,Index,Index,Percentage,Index,Percentage,Index,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Index,Index,Percentage,Index,Index,Index,Percentage,Percentage,Index,Index,Yuan Renminbi,Yuan Renminbi,Percentage,Index,Index,Yuan Renminbi,Yuan Renminbi,Percentage,Index,Index,Square metres,Gigawatt hours,Index,Index,Yuan Renminbi,Yuan Renminbi,Percentage,Percentage,Index,Percentage,Percentage,US Dollar,US Dollar,Percentage,Percentage,Yuan Renminbi,Yuan Renminbi,US Dollar,US Dollar,Percentage,Percentage,Yuan Renminbi,Yuan Renminbi,US Dollar,US Dollar,Yuan Renminbi,Yuan Renminbi
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Billions,Billions,Units,Units,Units,Billions,Billions,Units,Units,Units,Millions,Thousands,Units,Units,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Units,Units,Billions,Billions,Billions,Billions,Units,Units,Billions,Billions,Billions,Billions,Billions,Billions
reference_period,,,,2015=100,,,,,2015=100,,,2020=100,2015=100,,,,,,,,,,,,,,,,,,,2015=100,2015=100,,,,2015=100,2015=100,,,,2015=100,2015=100,,,2000=100,2015=100,,,,,2015=100,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-09,,,,69.2818210106634,5.787,5.7868,3.86703974055589,,30.6016034204543,2.62502192351718,15.7,41.216592045664,45.9754948933546,124.61424,104.286074243968,0.0,101.7744733,124.3008,,,,10.08,10.08,100.903826270006,100.623742949603,15.3758307974796,7.56154699686246,100.702529085802,101.269804603365,2.26215427956581,34.9809061121868,2.41299528256672,2.4453699783391,,,1.90315172764176,4.04987987325042,4.09928015527122,,,,,,,,,,103.91,106.378126354188,,,,92.4429558300188,92.3236973025216,8.832,8.64251223645721,14.9962969504373,24.8042835806013,51.110784,50.0142183123779,9.554,9.3610984925548,7.36863380469369,39.4039655422788,55.288998,54.1726769764146,-0.722,-0.71858625609759,-4.178214,-4.15845866403675
1993-10,,,,69.6407275010623,5.7868,5.7868,0.860345976280745,,30.8648830841596,0.72667338913596,15.9,41.5161020519685,46.3095865802682,123.6808,104.005900668923,-0.110564364866135,101.661947,124.6464,,,,10.08,10.08,100.799111244872,100.552019115734,15.0756225519795,7.64759642257245,100.689975027621,101.246729888224,3.20794003915376,36.0962663550954,2.53002657070867,2.52381598097969,,,3.6645517065436,4.31066833689375,4.24950039615722,,,,,,,,,,106.7,107.700985669529,,,,93.1465617040982,90.9611531968802,8.046,8.05061055246095,-6.84872254504198,7.00683439303242,46.5605928,46.587273144981,8.638,8.85060299866237,-5.4533716774633,24.6428431752279,49.9863784,51.2166694326594,-0.592,-0.799992446201419,-3.4257856,-4.62939628767837
1993-11,,,,70.4430113258825,5.7947,5.805,1.60275559686038,,31.3595717252554,0.866796732021997,16.7,41.8759622678179,46.7109965633588,121.81392,103.467774667143,-0.221373686655834,101.4368942,124.8768,,,,10.08,10.08,100.77543071525,100.535799300379,14.9128061808677,7.74057502113297,100.732712764828,101.325283061836,3.24548367085299,37.2354564898674,2.64705785885061,2.60572601652476,,,3.49841955231964,4.57145680053708,4.39816574889228,,,,,,,,,,111.91,107.251478615116,,,,93.8904052068024,92.0336298953402,8.944,8.23973762788655,2.34922648652759,4.92902135499702,51.8277968,47.7468076323142,9.526,8.95296386468371,1.15654115360063,22.1710046404914,55.2003122,51.8797397066827,-0.582,-0.713226236797162,-3.3725154,-4.13293207436852
1993-12,,,,72.2502028599434,5.8068,5.8,3.61542026739565,,32.4933520371787,3.02271526422255,18.8,43.1417533713273,48.12293698655,119.13028,102.747145306461,-0.318930604639906,101.1133809,124.992,,,,10.08,10.08,100.82514859658,100.569853220112,14.8759708178793,7.84008501430496,100.821501984987,101.488480167761,2.24405385415879,37.283790477325,2.64705785885061,2.66419991162741,,,1.742206853464,4.57145680053708,4.47479089399619,,,,,,,,,,143.78,112.484842133575,,,,74.7263076412695,92.7027766458881,13.515,9.05858889999311,9.93783187143292,19.9128735125378,78.478902,52.60141402448,18.086,9.7716478704793,9.14427912554198,35.8350101030888,105.0217848,56.7420048542992,-4.571,-0.713058970486191,-26.5428828,-4.14059082981921
1994-01,,,,50.3530777295929,8.7,8.7,6.18520145539354,23.8,34.5031313202885,4.04827106721691,21.1,44.8882484909488,50.0710839212715,116.44664,101.975158758811,-0.319951026382901,100.7898676,108.1728,,,,10.08,10.08,100.910628898271,100.62840236289,14.9165037341567,7.943339634939,100.92870769966,101.685527313146,2.12225038070159,31.1264469003751,2.72790059258592,2.72074090439457,,,1.64193624871364,4.59344305809107,4.54826410773885,,,,,,,,,,119.22,114.733566135201,,,,85.3918824352694,74.2525530510384,4.881,6.6397692755675,-26.7019471921002,42.096491007944,42.4647,57.7659926974373,5.716,8.94214273144733,-8.48889716480626,68.7620637062415,49.7292,77.7966417635918,-0.835,-2.30237345587983,-7.26449999999999,-20.0306490661545
1994-02,,,,50.6075675406756,8.7028,8.7044,4.50241445781661,28.4,36.0566052932526,2.31036631637199,23.2,45.9253314640931,51.2279093784309,113.99636,101.262323862623,-0.293066859827875,100.4944859,107.712,,,,10.08,10.08,101.003016266881,100.691682453491,14.9948655853156,8.04811068336601,101.049493730237,101.907535464486,2.12975526174211,25.6285703287604,2.80874332632122,2.77868602696428,,,1.61465328142444,4.61542931564506,4.62170280340231,,,,,,,,,,116.29,117.699010994208,,,,96.1428811001174,91.4690210112714,5.733,7.55461941409342,13.7783422971083,-0.256138673146853,49.8931524,65.7463418369722,5.963,8.25921096625981,-7.63722729213228,-3.27799559661891,51.8947964,71.8782611971659,-0.23,-0.704591552166394,-2.001644,-6.1319193601937
1994-03,,,,50.841872739726,8.7028,8.708,0.354832920686023,27.0,36.1845459989149,1.1895064852058,22.4,46.4716162602107,51.8372686827227,112.12948,100.673534872185,-0.223945321959208,100.2694332,107.3664,,,,10.08,10.08,101.079877735715,100.744328186178,15.0869987543899,8.15257691729554,101.185508993782,102.15753537813,2.06090937774588,25.6986617788583,2.80874332632122,2.8359522278721,,,1.5616247035294,4.61542931564506,4.69387645610395,,,,,,,,,,116.7,121.160597173444,,,,97.2836676217765,97.2833917861101,8.488,8.62604368992958,14.1823726267054,21.4239387562707,73.8693664,75.0707330247191,8.725,8.86692325540523,7.35799450610985,15.5928027666334,75.93193,77.1670597071407,-0.237,-0.240879565475655,-2.0625636,-2.09632668242154
1994-04,,,,51.5323378892974,8.6955,8.6847,2.99186622449209,25.6,37.2671392091422,2.30097202777385,21.7,47.5409151512126,53.0300297350741,110.72932,100.213243755402,-0.168336046802344,100.1006436,107.2512,,,,10.08,10.08,101.120680679457,100.772275880929,15.1773533031018,8.25498327886074,101.331062364754,102.425066603856,3.24967950403366,27.7622327355063,2.92368761593914,2.92811158616545,,,3.37788274664326,4.78943804880229,4.85243009906343,,,,,,,,,,117.0,123.765616876443,,,,94.9824598703094,95.6761785237993,8.935,9.21466681490162,6.82379021171931,29.8345477059167,77.6942925,80.1261352889771,9.407,9.63109831211485,8.61826627679203,27.6011813772038,81.7985685,83.7472153729947,-0.472,-0.416431497213228,-4.104276,-3.62108008401762
1994-05,,,,51.8917859713132,8.6649,8.6597,1.0998809045915,25.3,37.6770333569911,1.16350158326248,21.3,48.0940544516944,53.6470349706462,109.56252,99.8598395854214,-0.140516489146731,99.95998569,107.2512,,,,10.08,10.08,101.11221619683,100.766478191964,15.2519909625411,8.35409720469905,101.476392589369,102.692187680246,3.24968301345071,29.752276081002,3.03863190555706,3.02326593099595,,,3.41493718174085,4.96344678195951,5.01813753873434,,,,,,,,,,121.4,127.923442384513,,,,100.052938062467,103.957439279033,9.45,9.47013025814426,2.77235681304847,28.7653974880187,81.883305,82.0577316737942,9.445,9.1096224799511,-5.41450014592621,9.78849373167504,81.8399805,78.9339678265283,0.005,0.360507778193169,0.0433245,3.12376384726599
1994-06,,,,51.9648719294703,8.6572,8.6526,0.0337601603693697,28.5,37.6897531838748,0.93188204950407,22.6,48.5422343120085,54.1469620596289,108.62908,99.6101324583159,-0.112571414674837,99.84745932,107.2512,,,,10.08,10.08,101.05858340423,100.729742780771,15.3188266466924,8.45007884288349,101.608656724169,102.935292912823,1.98405580884944,29.7300677338597,3.03863190555706,3.08324921431684,,,1.6885583104413,4.96344678195951,5.10287171717401,,,,,,,,,,128.1,131.842327321519,,,,110.581312772649,105.643442612513,10.9,10.3794397802506,9.60186921742018,55.5342228910888,94.36348,89.8568860655856,9.857,9.82497306370553,7.85269186872248,32.3656491388676,85.3340204,85.0567568071115,1.043,0.554466716545082,9.0294596,4.80012925847409
