country,COL,COL,COL,COL,COL,COL,COL,COL,COL
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2006-04,103.6729,103.4422,102.9505,101.5073,8.334268,68.87455,100.5097,100.4957,66.90067
2006-05,104.1856,103.6399,103.1906,101.6298,8.468796,69.32844,100.6187,100.6566,67.18485
2006-06,104.4451,103.6958,103.3755,101.7241,8.449032,69.74702,100.7373,100.8317,67.4696
2006-07,104.5213,103.5457,103.5175,101.7965,8.375998,70.13804,100.864,101.0187,67.75475
2006-08,104.5971,103.4096,103.6337,101.8558,8.300006,70.51259,100.9927,101.2088,68.04018
2006-09,104.592,103.2846,103.72,101.8999,8.221423,70.8675,101.1161,101.391,68.32575
2006-10,104.3924,103.4957,103.7964,101.9388,8.081195,71.21609,101.2288,101.5573,68.61133
2006-11,104.0351,103.7455,103.8223,101.952,7.798325,71.5302,101.3268,101.702,68.89677
2006-12,103.741,103.9142,103.7853,101.9332,7.361941,71.80075,101.4088,101.8231,69.18197
2007-01,103.6934,103.7639,103.6481,101.8632,6.790988,72.00106,101.4775,101.9245,69.4668
2007-02,103.6918,103.5247,103.4422,101.7581,6.207951,72.15218,101.5385,102.0145,69.75117
2007-03,103.5478,103.2861,103.1721,101.6203,5.611429,72.25654,101.6,102.1053,70.03496
2007-04,103.2357,102.9911,102.9101,101.4867,5.067012,72.36443,101.6731,102.2134,70.31809
2007-05,103.0188,102.6639,102.7601,101.4101,4.645536,72.54912,101.7673,102.3524,70.60048
2007-06,102.9446,102.6941,102.7963,101.4286,4.469151,72.86411,101.8845,102.5255,70.88206
2007-07,102.7949,102.9541,102.9593,101.5118,4.463614,73.26873,102.0123,102.7142,71.16279
2007-08,102.6484,103.2632,103.1416,101.6048,4.501993,73.68707,102.1313,102.8898,71.44259
2007-09,102.453,103.6352,103.246,101.658,4.490122,74.04954,102.2216,103.0231,71.72144
2007-10,102.3094,103.9472,103.1882,101.6286,4.323096,74.29482,102.2701,103.0947,71.99933
2007-11,102.1227,103.9065,102.9242,101.4938,3.997652,74.38972,102.2683,103.0921,72.27625
2007-12,101.6513,103.7529,102.4941,101.2744,3.566792,74.36173,102.2136,103.0113,72.55222
2008-01,100.7304,103.4493,101.8658,100.9539,3.034747,74.1861,102.1132,102.8631,72.82727
2008-02,99.71743,103.1467,101.1444,100.5859,2.475185,73.93807,101.9785,102.6641,73.10146
2008-03,98.97006,103.0853,100.4227,100.2177,1.976944,73.68501,101.8217,102.4327,73.37486
2008-04,98.4646,102.7829,99.73116,99.86489,1.499537,73.44956,101.656,102.188,73.64755
2008-05,97.82743,102.1587,99.06982,99.5275,0.9413393,73.23205,101.4887,101.941,73.91963
2008-06,97.34977,101.6439,98.47021,99.2216,0.2636851,73.05624,101.3154,101.6851,74.19121
2008-07,97.07898,101.6075,97.92687,98.94441,-0.4777146,72.91872,101.1148,101.389,74.46242
2008-08,96.66529,101.3992,97.32674,98.63824,-1.291278,72.73556,100.8633,101.0176,74.73338
2008-09,96.27144,100.9038,96.68723,98.31199,-2.066197,72.51953,100.5514,100.5572,75.00425
2008-10,95.61118,100.2464,95.9704,97.94629,-2.763239,72.24188,100.2035,100.0436,75.27518
2008-11,95.08953,99.78091,95.26502,97.58643,-3.253811,71.96922,99.85848,99.53417,75.54633
2008-12,94.65867,99.5629,94.66287,97.27924,-3.483457,71.77137,99.55252,99.08246,75.81786
2009-01,94.28754,99.38318,94.19012,97.03806,-3.392661,71.66923,99.30367,98.71506,76.08996
2009-02,94.50983,98.82248,93.79076,96.83431,-3.133503,71.62122,99.11845,98.44159,76.36277
2009-03,94.87981,98.29929,93.58196,96.7278,-2.669624,71.7179,98.99457,98.25869,76.63645
2009-04,95.19736,98.13209,93.61263,96.74344,-1.975536,71.99854,98.91897,98.14706,76.91114
2009-05,95.68954,98.60735,93.87621,96.87791,-1.053951,72.46022,98.87587,98.08344,77.18698
2009-06,96.2248,99.12857,94.27654,97.08215,-0.03526662,73.03048,98.85124,98.04707,77.4641
2009-07,96.67922,99.56979,94.75371,97.32558,1.022095,73.66402,98.83488,98.02291,77.74262
2009-08,96.9138,99.94145,95.21859,97.56274,2.13995,74.29206,98.82028,98.00137,78.02264
2009-09,97.28976,100.0768,95.62663,97.77091,3.254588,74.87975,98.80389,97.97717,78.30428
2009-10,97.84516,100.105,95.99487,97.95877,4.42706,75.44007,98.78412,97.94797,78.58761
2009-11,98.31269,100.2221,96.33241,98.13097,5.57288,75.97998,98.76118,97.91411,78.87271
2009-12,98.81278,100.1458,96.6244,98.27993,6.571104,76.48754,98.73714,97.87861,79.15966
2010-01,99.45636,100.2486,96.94006,98.44097,7.462343,77.01743,98.71595,97.84733,79.4485
2010-02,99.8374,100.6437,97.35253,98.6514,8.387178,77.62822,98.70206,97.82681,79.7393
