country,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1987-02,99.2917,98.42635,101.1411,100.7956,3.889622,51.20243,98.63117,98.27899,50.62476
1987-03,99.52044,98.88129,101.4689,101.0238,4.149821,51.42958,98.66286,98.31653,50.68507
1987-04,99.78551,99.51953,101.8018,101.2555,4.405212,51.6602,98.6859,98.34383,50.74586
1987-05,100.0578,100.2178,102.1006,101.4634,4.600801,51.87435,98.70909,98.37131,50.80708
1987-06,100.3034,100.8139,102.3568,101.6417,4.721041,52.06752,98.74477,98.41358,50.86865
1987-07,100.5046,101.1816,102.5666,101.7877,4.759356,52.23765,98.80707,98.48739,50.93047
1987-08,100.7079,101.4081,102.717,101.8924,4.696464,52.37793,98.90938,98.6086,50.99246
1987-09,100.9864,101.5922,102.8012,101.951,4.531981,52.48465,99.05995,98.78699,51.05453
1987-10,101.3991,101.783,102.8215,101.9651,4.292336,52.55882,99.25449,99.01746,51.11656
1987-11,101.8755,101.9623,102.8058,101.9542,4.020391,52.61441,99.48235,99.28742,51.17846
1987-12,102.3253,102.074,102.7919,101.9446,3.729265,52.67069,99.72966,99.58042,51.24009
1988-01,102.6833,102.0664,102.7868,101.941,3.424938,52.73103,99.97985,99.87684,51.30136
1988-02,102.9821,102.0013,102.7694,101.9289,3.089976,52.78457,100.2188,100.16,51.36214
1988-03,103.2549,101.9507,102.7072,101.8856,2.692662,52.81441,100.4398,100.4218,51.42231
1988-04,103.4974,101.9521,102.5754,101.7939,2.221097,52.80762,100.6494,100.67,51.48175
1988-05,103.6565,101.9482,102.3727,101.6528,1.713545,52.76324,100.8585,100.9178,51.54035
1988-06,103.6156,101.8408,102.1239,101.4796,1.202938,52.69386,101.0754,101.1748,51.59798
1988-07,103.2638,101.5499,101.8731,101.3051,0.7359616,52.6221,101.2974,101.4378,51.65454
1988-08,102.7659,101.1767,101.6395,101.1425,0.3431773,52.55768,101.5162,101.697,51.70992
