country,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2010-10,101.5169,97.72865,102.418,101.2675,4.918408,100.6883,100.3308,100.2369,98.3111
2010-11,101.6733,98.09027,102.663,101.3958,4.231759,100.869,100.4701,100.4594,98.25252
2010-12,101.8928,98.08041,102.8358,101.4862,3.557744,100.9782,100.595,100.6588,98.19366
2011-01,102.193,97.83587,102.8315,101.484,2.80778,100.9134,100.6968,100.8215,98.13473
2011-02,102.2376,97.32242,102.6488,101.3883,1.979702,100.6737,100.7669,100.9334,98.07593
2011-03,102.0886,97.10921,102.329,101.221,1.131114,100.3003,100.8015,100.9887,98.01746
2011-04,101.8536,97.16771,101.9078,101.0005,0.2824116,99.82838,100.8089,101.0006,97.95956
2011-05,101.4243,97.17838,101.4357,100.7535,-0.5167413,99.30806,100.802,100.9894,97.90244
2011-06,100.814,97.15809,100.996,100.5234,-1.21944,98.82088,100.7922,100.9739,97.84634
2011-07,100.2279,97.0129,100.6384,100.3363,-1.780583,98.41582,100.7855,100.9632,97.7915
2011-08,99.72297,96.83902,100.4102,100.2169,-2.200237,98.13906,100.7822,100.9578,97.73815
2011-09,99.33247,96.72502,100.3355,100.1777,-2.481722,98.01427,100.7769,100.9494,97.68656
2011-10,99.10861,96.86341,100.3843,100.2033,-2.657765,98.0122,100.7589,100.9206,97.63698
2011-11,99.25633,97.25932,100.5008,100.2643,-2.766543,98.07841,100.7147,100.85,97.58966
2011-12,99.56139,97.68567,100.5765,100.3039,-2.843166,98.10722,100.6328,100.7193,97.54488
2012-01,99.62775,97.69254,100.4828,100.2548,-2.913204,97.97362,100.5093,100.522,97.50291
2012-02,99.21422,97.27184,100.1805,100.0967,-3.01341,97.64001,100.3462,100.2615,97.46404
2012-03,98.52753,96.50766,99.69962,99.84499,-3.154907,97.13589,100.1529,99.95278,97.42855
2012-04,97.8144,95.43566,99.14829,99.55649,-3.266796,96.56719,99.94996,99.62864,97.39672
2012-05,97.2524,94.8074,98.6129,99.27631,-3.312725,96.01826,99.75766,99.32152,97.36886
2012-06,96.76464,94.29424,98.10983,99.01305,-3.355189,95.50525,99.58551,99.04657,97.34524
2012-07,96.37641,93.95729,97.65636,98.77574,-3.42491,95.04517,99.42068,98.78332,97.32614
2012-08,96.06114,93.45133,97.26214,98.56944,-3.557702,94.64757,99.24463,98.50214,97.31184
2012-09,95.92329,92.82932,96.95179,98.40704,-3.752191,94.33659,99.04873,98.18925,97.30257
2012-10,96.1542,92.95485,96.79484,98.3249,-3.909866,94.18005,98.85026,97.87227,97.29863
2012-11,96.68226,93.41197,96.81207,98.33392,-3.956055,94.19838,98.67715,97.59579,97.30024
2012-12,97.19863,94.06313,96.96297,98.41288,-3.827289,94.35236,98.5528,97.39718,97.30763
2013-01,97.42505,94.84139,97.1829,98.52798,-3.464426,94.57939,98.47902,97.27935,97.32102
2013-02,97.67557,95.4734,97.37405,98.62801,-2.924537,94.78449,98.4476,97.22917,97.3406
2013-03,97.80871,95.94807,97.46822,98.67728,-2.300352,94.90142,98.44774,97.22939,97.36653
2013-04,97.90105,95.85337,97.4364,98.66064,-1.724337,94.90205,98.4701,97.26511,97.39896
2013-05,98.29384,95.17986,97.32553,98.60262,-1.235348,94.83209,98.51009,97.32897,97.43804
2013-06,98.67912,94.75826,97.2014,98.53766,-0.7848311,94.7557,98.56927,97.4235,97.48388
2013-07,98.86215,94.59492,97.12603,98.49821,-0.3280202,94.7334,98.65525,97.56081,97.53657
2013-08,99.09496,94.69864,97.10934,98.48948,0.1346636,94.77502,98.77557,97.75298,97.5962
2013-09,99.27715,94.77647,97.09662,98.48283,0.5201612,94.82729,98.92939,97.99865,97.66282
2013-10,99.4932,94.78459,97.14009,98.50557,0.8083048,94.94131,99.09616,98.26501,97.73649
2013-11,99.80466,94.88169,97.29187,98.585,1.029572,95.16822,99.24966,98.51016,97.81724
2013-12,99.95705,95.26496,97.55241,98.72134,1.225603,95.50875,99.37083,98.7037,97.90508
2014-01,100.0182,95.82361,97.88306,98.89437,1.423167,95.92542,99.46141,98.84836,98.00002
2014-02,100.226,96.3167,98.20721,99.064,1.644605,96.34332,99.53262,98.96209,98.10209
2014-03,100.5162,96.84328,98.58105,99.25964,2.019232,96.8177,99.59567,99.06279,98.21127
2014-04,100.8284,97.41161,99.02999,99.49458,2.604507,97.37378,99.65324,99.15473,98.32757
2014-05,101.2518,98.0361,99.54639,99.76482,3.345162,98.00438,99.70257,99.23352,98.45096
2014-06,101.6622,98.63657,100.0354,100.0207,4.074352,98.61638,99.73868,99.2912,98.58144
2014-07,101.7858,99.13076,100.4444,100.2347,4.670213,99.15765,99.75782,99.32177,98.71896
2014-08,101.5852,99.55089,100.7127,100.3751,5.057315,99.56809,99.75796,99.32199,98.86353
2014-09,101.3664,100.0794,100.8608,100.4527,5.315098,99.86746,99.74017,99.29359,99.01509
2014-10,101.3633,100.317,100.9291,100.4884,5.428353,100.0951,99.71106,99.24709,99.17361
2014-11,101.3408,100.0638,101.0077,100.5295,5.434479,100.3401,99.67915,99.19613,99.33908
2014-12,101.342,99.86063,101.1616,100.6101,5.401229,100.6674,99.65188,99.15256,99.51143
2015-01,101.4539,99.87091,101.4097,100.7399,5.390182,101.096,99.6324,99.12146,99.69062
2015-02,101.6267,100.1148,101.6669,100.8745,5.395368,101.5414,99.62109,99.1034,99.8766
2015-03,101.8186,100.6461,101.9345,101.0146,5.358009,102.0052,99.61611,99.09544,100.0693
2015-04,101.7461,101.4639,102.1764,101.1411,5.214097,102.4509,99.61306,99.09058,100.2687
2015-05,101.6673,101.9196,102.3679,101.2413,4.948173,102.8538,99.60674,99.08047,100.4746
2015-06,101.659,101.9871,102.5292,101.3258,4.682111,103.2337,99.59235,99.05748,100.6871
2015-07,101.8234,101.8384,102.6432,101.3854,4.453066,103.5732,99.56675,99.0166,100.906
2015-08,102.04,101.9323,102.6787,101.404,4.290713,103.8403,99.52958,98.95724,101.1312
2015-09,102.0832,102.0717,102.6365,101.3819,4.173157,104.0351,99.48484,98.88579,101.3627
2015-10,102.1763,101.9954,102.526,101.3241,4.067799,104.1667,99.44314,98.81918,101.6003
2015-11,102.0754,101.7069,102.3528,101.2334,3.886713,104.2401,99.41705,98.77751,101.8439
2015-12,101.8488,101.332,102.0803,101.0908,3.526268,104.2172,99.41617,98.77611,102.0934
2016-01,101.5673,100.6904,101.6787,100.8807,2.938553,104.0667,99.44075,98.81537,102.3486
2016-02,101.4286,100.2628,101.1717,100.6154,2.235927,103.8118,99.48602,98.88766,102.6095
2016-03,101.4732,100.056,100.6625,100.3489,1.521624,103.5573,99.54435,98.98083,102.8758
2016-04,101.5955,100.1235,100.2286,100.1218,0.9098459,103.3831,99.6057,99.07881,103.1473
2016-05,101.4729,100.1803,99.92411,99.96248,0.4780761,103.3455,99.66084,99.16688,103.424
2016-06,101.3941,100.3457,99.79597,99.89542,0.2521509,103.494,99.70416,99.23608,103.7056
2016-07,101.4566,100.7126,99.83765,99.91723,0.2412564,103.8231,99.73667,99.28799,103.9919
2016-08,101.595,100.9951,100.0088,100.0068,0.4349764,104.292,99.76379,99.3313,104.2828
2016-09,101.6977,101.2528,100.3174,100.1683,0.8408219,104.9098,99.79379,99.37923,104.5779
2016-10,101.8538,101.6702,100.7395,100.3892,1.426509,105.6527,99.83641,99.4473,104.8772
2016-11,101.9676,102.0186,101.2273,100.6444,2.140362,106.4712,99.89982,99.54857,105.1803
2016-12,102.1423,102.2678,101.6917,100.8875,2.930766,107.2716,99.9866,99.68716,105.4871
