country,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2009-06,95.0519,,96.05888,96.66711,-1.936313,76.1886,98.61026,98.17278,79.31447
2009-07,95.2869,,96.63126,97.15136,-0.8569604,76.90271,98.65186,98.22314,79.58368
2009-08,95.88312,,97.24998,97.67483,0.5189239,77.65823,98.71226,98.29623,79.85423
2009-09,96.83947,,97.86988,98.19927,2.146069,78.4194,98.78785,98.38773,80.12618
2009-10,97.94571,,98.48384,98.7187,3.954872,79.18055,98.87368,98.49162,80.39954
2009-11,98.99509,,99.06126,99.20721,5.769538,79.917,98.96508,98.60226,80.67432
2009-12,99.84708,,99.57352,99.6406,7.397182,80.6053,99.05853,98.71535,80.95053
2010-01,100.5471,,100.0045,100.0052,8.710298,81.23183,99.15189,98.82837,81.22818
2010-02,101.1366,,100.3038,100.2584,9.557597,81.75484,99.2441,98.93998,81.50725
2010-03,101.6152,,100.4517,100.3836,9.900454,82.15718,99.33454,99.04945,81.78772
2010-04,102.0134,,100.4512,100.3832,9.787101,82.43989,99.42249,99.1559,82.06957
2010-05,102.3194,,100.375,100.3186,9.377497,82.66157,99.50787,99.25925,82.35277
2010-06,102.4867,,100.2796,100.238,8.767431,82.86838,99.59208,99.36117,82.63728
2010-07,102.5337,,100.2191,100.1868,8.064793,83.10475,99.6788,99.46614,82.92307
2010-08,102.4315,,100.2428,100.2068,7.409214,83.4121,99.77197,99.57891,83.21008
2010-09,102.111,,100.3533,100.3003,6.852693,83.79324,99.87337,99.70164,83.49827
2010-10,101.6205,,100.5247,100.4453,6.373608,84.22721,99.9797,99.83035,83.78758
2010-11,100.9951,,100.7246,100.6145,5.968967,84.68722,100.0856,99.95853,84.07796
2010-12,100.2969,,100.9307,100.7888,5.643859,85.15455,100.1862,100.0803,84.36935
2011-01,99.78947,,101.1257,100.9538,5.395506,85.6147,100.2797,100.1935,84.66168
2011-02,99.4687,,101.281,101.0852,5.245409,86.04322,100.3677,100.3,84.95491
2011-03,99.23332,99.82871,101.3842,101.1724,5.199494,86.42894,100.4564,100.4073,85.24896
2011-04,99.02393,100.0751,101.4238,101.2059,5.242414,86.76173,100.5576,100.5298,85.54379
2011-05,98.7169,100.0588,101.3967,101.1831,5.294764,87.0383,100.6811,100.6794,85.83935
2011-06,98.45163,100.0547,101.3242,101.1217,5.318976,87.27613,100.8266,100.8554,86.13556
2011-07,98.22199,99.59721,101.222,101.0353,5.275098,87.48861,100.9724,101.0319,86.43239
2011-08,97.98394,99.11766,101.1219,100.9506,5.14403,87.70284,101.0887,101.1726,86.72978
2011-09,97.77914,99.10755,101.0862,100.9203,4.988135,87.97295,101.1495,101.2462,87.02769
2011-10,97.76231,99.25407,101.1067,100.9377,4.826615,88.29253,101.1469,101.2431,87.3261
2011-11,97.72301,99.3492,101.1789,100.9988,4.688775,88.65801,101.0823,101.1649,87.62498
2011-12,97.57471,99.44975,101.2848,101.0884,4.579226,89.05396,100.9617,101.019,87.9243
2012-01,97.58325,99.26054,101.4087,101.1932,4.49945,89.46689,100.7954,100.8177,88.22407
2012-02,97.70564,99.02718,101.4982,101.2689,4.42485,89.8505,100.5958,100.5761,88.52428
2012-03,97.842,99.06498,101.5075,101.2768,4.321496,90.16396,100.378,100.3124,88.82493
2012-04,97.88285,99.36452,101.3817,101.1704,4.144434,90.35751,100.1629,100.0521,89.12604
2012-05,97.83105,99.78076,101.0986,100.9309,3.873938,90.41011,99.97145,99.82035,89.42762
