country,G4E,G4E,G4E,G4E,G4E,G4E,G4E,G4E,G4E
subject,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,2010=100,,
time,,,,,,,,,
1968-06,100.2738,100.2773,6.892826,37.09504,98.87216,4.891976,36.53678,98.7629,36.99374
1968-07,100.6139,100.5308,6.987217,37.36401,99.18365,5.169357,36.79414,99.07745,37.13604
1968-08,100.9551,100.7835,7.071679,37.63517,99.53981,5.481047,37.06859,99.43336,37.27913
1968-09,101.2551,101.0048,7.114281,37.89267,99.86596,5.76507,37.33413,99.76075,37.42297
1968-10,101.5096,101.1924,7.153836,38.1346,100.1232,5.992652,37.5771,100.0237,37.5675
1968-11,101.7118,101.3423,7.208731,38.35825,100.3055,6.167404,37.79507,100.2166,37.71267
1968-12,101.8422,101.4408,7.25746,38.55589,100.4257,6.313424,37.99199,100.3509,37.85844
1969-01,101.9099,101.4939,7.278963,38.73061,100.5053,6.466604,38.17475,100.4454,38.00476
1969-02,101.9705,101.5436,7.28132,38.90337,100.5643,6.64823,38.34974,100.5175,38.15158
1969-03,102.0192,101.5847,7.233845,39.07217,100.6145,6.838429,38.52045,100.5767,38.29885
1969-04,102.0503,101.6127,7.106136,39.23478,100.6536,6.962429,38.68559,100.6199,38.44652
1969-05,102.0259,101.5992,6.84071,39.37645,100.6717,6.930285,38.84123,100.6373,38.59455
1969-06,101.9254,101.5276,6.417746,39.48884,100.6584,6.695919,38.98325,100.6185,38.74289
1969-07,101.7493,101.3978,5.862296,39.57182,100.6078,6.291025,39.10886,100.5571,38.89148
1969-08,101.5175,101.2243,5.250031,39.63274,100.521,5.798883,39.21815,100.4537,39.04029
1969-09,101.2397,101.0144,4.637096,39.67511,100.4077,5.306248,39.31518,100.3194,39.18928
1969-10,100.9553,100.7977,4.069746,39.71418,100.2911,4.878389,39.41026,100.1808,39.33839
1969-11,100.6935,100.5961,3.585418,39.76144,100.1982,4.553192,39.51595,100.0699,39.48759
1969-12,100.4661,100.4187,3.215759,39.82159,100.1522,4.345858,39.64306,100.0138,39.63683
1970-01,100.274,100.2678,2.949626,39.8951,100.1714,4.259465,39.80079,100.0351,39.78608
1970-02,100.1049,100.1356,2.71476,39.97717,100.2632,4.285735,39.99331,100.1434,39.93527
