country,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2007-08,100.6737,97.7678,102.5096,101.4017,0.213379,95.44354,101.6939,101.9082,93.10695
2007-09,100.0944,97.53765,102.5566,101.4281,0.3707205,95.50468,101.8015,102.0531,93.1239
2007-10,99.81137,97.34292,102.6573,101.4845,0.5869303,95.60867,101.9398,102.2393,93.13383
2007-11,99.96722,97.36429,102.8432,101.5885,0.8691236,95.78497,102.1105,102.4692,93.13695
2007-12,99.83099,97.58813,103.0855,101.7243,1.172455,96.00715,102.3123,102.7409,93.13347
2008-01,99.52044,97.64529,103.2927,101.8403,1.398136,96.18996,102.5335,103.0389,93.12363
2008-02,99.33333,97.52402,103.3564,101.876,1.450676,96.23275,102.7552,103.3375,93.1077
2008-03,99.22608,97.28914,103.2144,101.7964,1.259176,96.07806,102.9528,103.6035,93.08595
2008-04,99.1888,97.14735,102.8728,101.6051,0.8116434,95.73205,103.0983,103.7995,93.05867
2008-05,99.37929,97.36052,102.3498,101.3123,0.1266213,95.21213,103.1588,103.881,93.02621
2008-06,99.32852,97.85625,101.6476,100.919,-0.7539662,94.52103,103.0986,103.7999,92.9889
2008-07,99.17236,98.22438,100.7708,100.428,-1.782128,93.66358,102.8883,103.5167,92.94714
2008-08,98.65573,98.31178,99.70512,99.83117,-2.950614,92.62737,102.5084,103.0051,92.90132
2008-09,97.69137,98.11993,98.47375,99.14157,-4.261514,91.43474,101.9638,102.2716,92.85188
2008-10,96.25925,97.6196,97.13169,98.38998,-5.722445,90.13752,101.2862,101.359,92.79929
2008-11,94.61962,97.1245,95.80605,97.64759,-7.23557,88.85439,100.5335,100.3454,92.74402
2008-12,93.26925,96.61717,94.68478,97.01965,-8.590082,87.76006,99.77608,99.32535,92.68655
2009-01,92.35391,96.07623,93.89262,96.57601,-9.58488,86.97026,99.08786,98.39848,92.62737
2009-02,91.8381,95.64825,93.45998,96.33372,-10.10019,86.51305,98.53131,97.64896,92.56696
2009-03,91.69583,95.36371,93.37664,96.28705,-10.09519,86.3788,98.13778,97.11897,92.50579
2009-04,92.23865,95.31339,93.59356,96.40853,-9.620739,86.52192,97.9025,96.80211,92.44431
2009-05,93.29187,95.52737,94.08085,96.68143,-8.71474,86.91463,97.79345,96.65525,92.38293
2009-06,94.26897,95.80174,94.76804,97.06628,-7.43669,87.49179,97.77174,96.62601,92.32204
2009-07,95.21133,96.08573,95.57711,97.51937,-5.853099,88.18136,97.80252,96.66747,92.26201
2009-08,95.83795,96.47301,96.42081,97.99187,-4.02075,88.90306,97.85975,96.74454,92.20319
2009-09,96.15951,96.91775,97.23684,98.44886,-2.006875,89.59975,97.92722,96.83539,92.1459
2009-10,96.46883,97.29465,97.98586,98.86834,0.1088211,90.23561,97.9978,96.93047,92.09044
